title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Expression UKESM2,Model units
Variable landIce.snc.tavg-u-hxy-lnd.mon.glb (LImon.snc),1862,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1862,mon landIce CMIP6 UKESM1 HadGEM3-GC31 BCV approved,snc_tavg-u-hxy-lnd,surface_snow_area_fraction,"""comment"" was ""Percentage of each grid cell that is occupied by snow that rests on land portion of cell.""; ; ""modeling_realm"" was ""landIce land"";",area: areacella,area: mean where land time: mean,Fraction of each grid cell that is occupied by snow that rests on land portion of cell.,longitude latitude time,mon,Snow Area Percentage,landIce land,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:area: mean where land time: mean,",glb,%,CMIP6 CMOR variable,"snc_calc(m01s08i236[lbproc=128], m01s03i317[lbproc=128], m01s03i395[lbproc=128])","snc_calc(m01s08i236[lbproc=128], m01s03i317[lbproc=128], m01s03i395[lbproc=128])","snc_calc(m01s08i236[lbproc=128], m01s03i317[lbproc=128], m01s03i395[lbproc=128])","snc_calc(m01s08i236[lbproc=128], m01s03i317[lbproc=128], m01s03i395[lbproc=128])",,%
Variable atmos.sftlf.ti-u-hxy-u.fx.glb (fx.sftlf),1855,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1855,fx atmos CMIP6 UKESM1 HadGEM3-GC31 BCV approved,sftlf_ti-u-hxy-u,land_area_fraction,"""long_name"" was ""Percentage of the grid cell occupied by land (including lakes)"";",area: areacella,area: mean,Percentage of horizontal area occupied by land.,longitude latitude,fx,Percentage of the Grid Cell Occupied by Land (Including Lakes),atmos,,"For atmospheres with more than 1 mesh (e.g., staggered grids), report areas that apply to surface vertical fluxes of energy.",glb,%,CMIP6 CMOR variable,m01s00i505,m01s00i505,m01s00i505,m01s00i505,,1
Variable land.sftgif.ti-u-hxy-u.fx.glb (fx.sftgif),1854,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1854,fx land CMIP6 UKESM1 HadGEM3-GC31 BCV approved,sftgif_ti-u-hxy-u,land_ice_area_fraction,"""comment"" was ""Percentage of grid cell covered by land ice (ice sheet, ice shelf, ice cap, glacier)"";",area: areacella,area: mean,"fraction of grid cell occupied by ""permanent"" ice (i.e., glaciers).",longitude latitude,fx,Land Ice Area Percentage,land,,"For atmospheres with more than 1 mesh (e.g., staggered grids), report areas that apply to surface vertical fluxes of energy.",glb,%,CMIP6 CMOR variable,"land_class_area(m01s00i216, m01s00i505, land_class='ice')","land_class_area(m01s00i216, m01s00i505, land_class='ice')","land_class_area(m01s00i216, m01s00i505, land_class='iceElev')","land_class_area(m01s00i216, m01s00i505, land_class='iceElev')",,%
Variable land.rootd.ti-u-hxy-lnd.fx.glb (fx.rootd),1853,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1853,fx land CMIP6 BCV approved,rootd_ti-u-hxy-lnd,root_depth,"""comment"" was ""report the maximum soil depth reachable by plant roots (if defined in model), i.e., the maximum soil depth from which they can extract moisture; report as *missing* where the land fraction is 0."";",area: areacella,area: mean where land,"report the maximum soil depth reachable by plant roots (if defined in model), i.e., the maximum soil depth from which they can extract moisture; report as ""missing"" where the land fraction is 0.",longitude latitude,fx,Maximum Root Depth,land,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean CMIP7:area: mean where land,",GLB,m,CMIP6 CMOR variable,"calc_rootd(m01s00i009, m01s00i216, ice_class='ice')","calc_rootd(m01s00i009, m01s00i216, ice_class='ice')","calc_rootd(m01s00i009, m01s00i216, ice_class='iceElev')","calc_rootd(m01s00i009, m01s00i216, ice_class='iceElev')",,m
Variable land.orog.ti-u-hxy-u.fx.glb (fx.orog),1852,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1852,fx land CMIP6 UKESM1 HadGEM3-GC31 BCV approved,orog_ti-u-hxy-u,surface_altitude,"""comment"" was ""The surface called 'surface' means the lower boundary of the atmosphere. Altitude is the (geometric) height above the geoid, which is the reference geopotential surface. The geoid is similar to mean sea level."";",area: areacella,area: mean,"height above the geoid; as defined here, ""the geoid"" is a surface of constant geopotential that, if the ocean were at rest, would coincide with mean sea level. Under this definition, the geoid changes as the mean volume of the ocean changes (e.g., due to glacial melt, or global warming of the ocean). Reported here is the height above the present-day geoid (0.0 over ocean).",longitude latitude,fx,Surface Altitude,land,,,glb,m,CMIP6 CMOR variable,m01s00i033,m01s00i033,m01s00i033,m01s00i033,,m
Variable land.mrsofc.ti-u-hxy-lnd.fx.glb (fx.mrsofc),1851,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1851,fx land CMIP6 UKESM1 HadGEM3-GC31 BCV,mrsofc_ti-u-hxy-lnd,soil_moisture_content_at_field_capacity,"""comment"" was ""The bulk water content retained by the soil at -33 J/kg of suction pressure, expressed as mass per unit land area; report as missing where there is no land"";",area: areacella,area: mean where land,"reported ""where land"": divide the total water holding capacity of all the soil in the grid cell by the land area in the grid cell; reported as ""missing"" where the land fraction is 0.",longitude latitude,fx,Capacity of Soil to Store Water (Field Capacity),land,,This variable should exclude lake water and must refer to soil water only.; CHANGE: processing clarified.,glb,kg m-2,CMIP6 CMOR variable,mask_zeros(m01s00i041 * FRESHWATER_DENSITY * 3.0),mask_zeros(m01s00i041 * FRESHWATER_DENSITY * 3.0),mask_zeros(m01s00i041 * FRESHWATER_DENSITY * 3.0),mask_zeros(m01s00i041 * FRESHWATER_DENSITY * 3.0),,kg m-2
Variable atmos.areacella.ti-u-hxy-u.fx.glb (fx.areacella),1844,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1844,fx atmos CMIP6 UKESM1 HadGEM3-GC31 BCV approved,areacella_ti-u-hxy-u,cell_area,"""comment"" was ""For atmospheres with more than 1 mesh (e.g., staggered grids), report areas that apply to surface vertical fluxes of energy.""; ; ""modeling_realm"" was ""atmos land"";",,area: sum,"Cell areas for any grid used to report atmospheric variables and any other variable using that grid (e.g., soil moisture content). These cell areas should be defined to enable exact calculation of global integrals (e.g., of vertical fluxes of energy at the surface and top of the atmosphere).",longitude latitude,fx,Grid-Cell Area for Atmospheric Grid Variables,atmos land,,"For atmospheres with more than 1 mesh (e.g., staggered grids), report areas that apply to surface vertical fluxes of energy.",glb,m2,CMIP6 CMOR variable,areacella(m01s00i505),areacella(m01s00i505),areacella(m01s00i505),areacella(m01s00i505),,m2
Variable atmos.zg.tavg-p19-hxy-air.day.glb (day.zg),1843,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1843,day atmos CMIP6 UKESM1 HadGEM3-GC31 BCV approved,zg_tavg-p19-hxy-air,geopotential_height,"""dimensions"" was ""longitude latitude plev8 time"";",area: areacella,area: time: mean where air,"Geopotential is the sum of the specific gravitational potential energy relative to the geoid and the specific centripetal potential energy. Geopotential height is the geopotential divided by the standard acceleration due to gravity. It is numerically similar to the altitude (or geometric height) and not to the quantity with standard name height, which is relative to the surface.",longitude latitude plev19 time,day,Geopotential Height,atmos,,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude plev8 time CMIP7:longitude latitude plev19 time, CHANGE SINCE CMIP6 in Cell Methods - CMIP6:time: mean CMIP7:area: time: mean where air,",glb,m,CMIP6 CMOR variable,"m01s30i297[blev=PLEV19, lbproc=128] / m01s30i304[blev=PLEV19, lbproc=128]","m01s30i297[blev=PLEV19, lbproc=128] / m01s30i304[blev=PLEV19, lbproc=128]","m01s30i297[blev=PLEV19, lbproc=128] / m01s30i304[blev=PLEV19, lbproc=128]","m01s30i297[blev=PLEV19, lbproc=128] / m01s30i304[blev=PLEV19, lbproc=128]",,m
Variable atmos.wap.tavg-p19-hxy-u.day.glb (day.wap),1840,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1840,day atmos CMIP6 UKESM1 HadGEM3-GC31 BCV approved,wap_tavg-p19-hxy-u,lagrangian_tendency_of_air_pressure,"""dimensions"" was ""longitude latitude plev8 time""; ; ""comment"" was ""Omega (vertical velocity in pressure coordinates, positive downwards)"";",area: areacella,time: mean,"commonly referred to as ""omega"", this represents the vertical component of velocity in pressure coordinates (positive down)",longitude latitude plev19 time,day,Omega (=dp/dt),atmos,,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude plev8 time CMIP7:longitude latitude plev19 time,",glb,Pa s-1,CMIP6 CMOR variable,"m01s30i298[blev=PLEV19, lbproc=128] / m01s30i304[blev=PLEV19, lbproc=128]","m01s30i298[blev=PLEV19, lbproc=128] / m01s30i304[blev=PLEV19, lbproc=128]","m01s30i298[blev=PLEV19, lbproc=128] / m01s30i304[blev=PLEV19, lbproc=128]","m01s30i298[blev=PLEV19, lbproc=128] / m01s30i304[blev=PLEV19, lbproc=128]",,Pa s-1
Variable atmos.vas.tavg-h10m-hxy-u.day.glb (day.vas),1839,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1839,day atmos CMIP6 UKESM1 HadGEM3-GC31 BCV approved,vas_tavg-h10m-hxy-u,northward_wind,,area: areacella,area: time: mean,Northward component of the near surface wind,longitude latitude time height10m,day,Northward Near-Surface Wind,atmos,,normally report this at 10 meters above the surface,glb,m s-1,CMIP6 CMOR variable,m01s03i210[lbproc=128],m01s03i210[lbproc=128],m01s03i210[lbproc=128],m01s03i210[lbproc=128],,m s-1
