title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Expression UKESM2,Model units
Variable REMOVED (Emon.rsussi),1013,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1013,mon ocean approved,rsus_tavg-u-hxy-si,surface_upwelling_shortwave_flux_in_air,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),"Surface Upwelling Shortwave Radiation over the portion of an ocean grid cell covered by sea ice, including snow. Can be used for computation of surface albedo.",longitude latitude time,mon,Surface Upwelling Shortwave Radiation over Sea Ice,ocean,up,"other than the different rule for spatial averaging, the variable is equivalent to Amon.rsus.",GLB,W m-2,New,,m01s01i503[lbproc=128] / m01s00i031[lbproc=128],,m01s01i503[lbproc=128] / m01s00i031[lbproc=128],,
Variable REMOVED (Emon.rsdssi),1007,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1007,mon ocean approved,rsds_tavg-u-hxy-si,surface_downwelling_shortwave_flux_in_air,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),"Surface Downwelling Shortwave Radiation over the portion of an ocean grid cell covered by sea ice, including snow. Can be used for computation of surface albedo.",longitude latitude time,mon,Surface Downwelling Shortwave Radiation over Sea Ice,ocean,down,"other than the different rule for spatial averaging, the variable is equivalent to Amon.rsds.",GLB,W m-2,New,,m01s01i501[lbproc=128] / m01s00i031[lbproc=128],,m01s01i501[lbproc=128] / m01s00i031[lbproc=128],,
Variable REMOVED (Emon.netAtmosLandCO2Flux),961,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/961,mon land CMIP6 UKESM1 approved,netAtmosLandCO2Flux_tavg-u-hxy-lnd,surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes,,area: areacella,area: mean where land time: mean,"Flux of carbon as carbon dioxide into the land. This flux should be reproducible by differencing the sum of all carbon pools (cVeg, cLitter, cSoil, and cProducts or equivalently cLand) from one time step to the next, except in the case of lateral transfer of carbon due to harvest, riverine transport of dissolved organic and/or inorganic carbon, or any other process (in which case the lateral_carbon_transfer_over_land term, see below, will be zero data).",longitude latitude time,mon,Net Flux of CO2 Between Atmosphere and Land (Positive into Land) as a Result of All Processes [kgC m-2 s-1],land,down,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,"(m01s19i102[lbtim_ia=240,lbproc=128] - m01s19i053[lbtim_ia=240,lbproc=128] - m01s19i042[lbtim_ia=240,lbproc=128] - m01s19i044[lbtim_ia=240,lbproc=128]) / (SECONDS_IN_DAY * DAYS_IN_YEAR)","(m01s19i102[lbtim_ia=240,lbproc=128] - m01s19i053[lbtim_ia=240,lbproc=128] - m01s19i042[lbtim_ia=240,lbproc=128] - m01s19i044[lbtim_ia=240,lbproc=128]) / (SECONDS_IN_DAY * DAYS_IN_YEAR)",,kg m-2 s-1
Variable REMOVED (Emon.fg14co2),915,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/915,mon ocnBgchem CMIP6 do-not-produce,fg14co2_tavg-u-hxy-sea,surface_downward_mass_flux_of_14C_dioxide_abiotic_analogue_expressed_as_carbon,,area: areacello,area: mean where sea time: mean,Gas exchange flux of carbon-14 as CO2 (positive into ocean),longitude latitude time,mon,Surface Downward Mass Flux of Carbon-14 as 14CO2 [kgC m-2 s-1],ocnBgchem,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,,,
Variable REMOVED (Emon.cWood),857,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/857,mon land CMIP6 do-not-produce,cWood_tavg-u-hxy-lnd,stem_mass_content_of_carbon,"""comment"" was ""Carbon mass per unit area in wood, including sapwood and hardwood."";",area: areacella,area: mean where land time: mean,Carbon Mass in Wood,longitude latitude time,mon,Carbon Mass in Wood,land,,,GLB,kg m-2,CMIP6 CMOR variable,,,,,,
Variable REMOVED (Emon.albsrfc),835,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/835,mon atmos UKESM1 HadGEM3-GC31 approved,albsrfc_tavg-u-hxy-u,surface_albedo,Not present,area: areacella area: areacello,area: time: mean,"surface albedo at grid cell level (i.e. the albedo averaged over all potential subgrid-scale structures) over all wave-bands; this shall apply to all realms (land, ocean, sea ice, land ice)",longitude latitude time,mon,Monthly Albedo of the Surface,atmos,,"There is a variable AERmon.albsrfc, but I am not sure whether the definition applies to the description above; furthermore, the variable would also be of relevance outside of the AER focus, hence we may consider whether it should go into another category as well (I had Emon in mind.); Whether this variable should be provided at atmosphere/land or ocean grid, and the respective grid cell metrics, must be discussed.",GLB,1,New,(m01s01i235[lbproc=128] - m01s01i201[lbproc=128])/m01s01i235[lbproc=128],(m01s01i235[lbproc=128] - m01s01i201[lbproc=128])/m01s01i235[lbproc=128],(m01s01i235[lbproc=128] - m01s01i201[lbproc=128])/m01s01i235[lbproc=128],(m01s01i235[lbproc=128] - m01s01i201[lbproc=128])/m01s01i235[lbproc=128],,1
Variable REMOVED (Emon.albsn),834,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/834,mon land,albsrfc_tavg-u-hxy-sn,surface_albedo,Not present,area: areacella area: areacello,area: time: mean where snow (mask=snc),"This is similar to Eday.albsn, but providing monthly averages",longitude latitude time,mon,Snow Albedo,land,,,GLB,1,New,,,,,,
Variable REMOVED (6hr.wpp),142,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/142,6hr ocean do-not-produce,wpp_tavg-u-hxy-sea,sea_surface_wave_period_at_variance_spectral_density_maximum,Not present,area: areacello,area: mean where sea time: mean,"Wave period associated with the most energetic waves in total wave spectrum, incorporating both wind-sea and swell waves. In spectral wind wave models, this represents the spectral peak across the entire two-dimensional wave spectrum, incorporating both wind-sea and swell waves.",longitude latitude time,6hr,Total Wave Peak Period,ocean,,"The 3-hourly version of this variable is preferable for the science goals, but if this is not possible the 6-hourly version may be archived instead. Please do not provide both.",GLB,s,New,,,,,,
Variable REMOVED (6hr.wpdir),139,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/139,6hr ocean do-not-produce,wpdir_tavg-u-hxy-sea,sea_surface_wave_from_direction_at_variance_spectral_density_maximum,Not present,area: areacello,area: mean where sea time: mean,"Direction of wave propagation (direction from which the wave is coming) derived from the total wave energy spectrum, incorporating both wind-sea and swell waves, by identifying the direction associated with the peak (maximum) energy density. This variable is usually expressed in degrees relative to true north.",longitude latitude time,6hr,Total Peak Wave Direction,ocean,,"The 3-hourly version of this variable is preferable for the science goals, but if this is not possible the 6-hourly version may be archived instead. Please do not provide both.",GLB,degree,New,,,,,,
Variable REMOVED (6hr.wdir),136,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/136,6hr ocean do-not-produce,wdir_tavg-u-hxy-sea,sea_surface_wave_from_direction,Not present,area: areacello,area: mean where sea time: mean,"Mean direction of wave propagation (direction from which the wave is coming) derived from the total wave energy spectrum, incorporating both wind-sea and swell waves. This variable is usually expressed in degrees relative to true north.",longitude latitude time,6hr,Total Wave Direction,ocean,,"The 3-hourly version of this variable is preferable for the science goals, but if this is not possible the 6-hourly version may be archived instead. Please do not provide both.",GLB,degree,New,,,,,,
