title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Expression UKESM2,Model units
Variable REMOVED (Emon.rsussi),1013,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1013,mon ocean approved,rsus_tavg-u-hxy-si,surface_upwelling_shortwave_flux_in_air,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),"Surface Upwelling Shortwave Radiation over the portion of an ocean grid cell covered by sea ice, including snow. Can be used for computation of surface albedo.",longitude latitude time,mon,Surface Upwelling Shortwave Radiation over Sea Ice,ocean,up,"other than the different rule for spatial averaging, the variable is equivalent to Amon.rsus.",GLB,W m-2,New,,m01s01i503[lbproc=128] / m01s00i031[lbproc=128],,m01s01i503[lbproc=128] / m01s00i031[lbproc=128],,
Variable REMOVED (Emon.rsdssi),1007,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1007,mon ocean approved,rsds_tavg-u-hxy-si,surface_downwelling_shortwave_flux_in_air,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),"Surface Downwelling Shortwave Radiation over the portion of an ocean grid cell covered by sea ice, including snow. Can be used for computation of surface albedo.",longitude latitude time,mon,Surface Downwelling Shortwave Radiation over Sea Ice,ocean,down,"other than the different rule for spatial averaging, the variable is equivalent to Amon.rsds.",GLB,W m-2,New,,m01s01i501[lbproc=128] / m01s00i031[lbproc=128],,m01s01i501[lbproc=128] / m01s00i031[lbproc=128],,
Variable REMOVED (Emon.albsrfc),835,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/835,mon atmos UKESM1 HadGEM3-GC31 approved,albsrfc_tavg-u-hxy-u,surface_albedo,Not present,area: areacella area: areacello,area: time: mean,"surface albedo at grid cell level (i.e. the albedo averaged over all potential subgrid-scale structures) over all wave-bands; this shall apply to all realms (land, ocean, sea ice, land ice)",longitude latitude time,mon,Monthly Albedo of the Surface,atmos,,"There is a variable AERmon.albsrfc, but I am not sure whether the definition applies to the description above; furthermore, the variable would also be of relevance outside of the AER focus, hence we may consider whether it should go into another category as well (I had Emon in mind.); Whether this variable should be provided at atmosphere/land or ocean grid, and the respective grid cell metrics, must be discussed.",GLB,1,New,(m01s01i235[lbproc=128] - m01s01i201[lbproc=128])/m01s01i235[lbproc=128],(m01s01i235[lbproc=128] - m01s01i201[lbproc=128])/m01s01i235[lbproc=128],(m01s01i235[lbproc=128] - m01s01i201[lbproc=128])/m01s01i235[lbproc=128],(m01s01i235[lbproc=128] - m01s01i201[lbproc=128])/m01s01i235[lbproc=128],,1
Variable REMOVED (Emon.albsn),834,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/834,mon land,albsrfc_tavg-u-hxy-sn,surface_albedo,Not present,area: areacella area: areacello,area: time: mean where snow (mask=snc),"This is similar to Eday.albsn, but providing monthly averages",longitude latitude time,mon,Snow Albedo,land,,,GLB,1,New,,,,,,
Variable REMOVED (6hr.wpp),142,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/142,6hr ocean do-not-produce,wpp_tavg-u-hxy-sea,sea_surface_wave_period_at_variance_spectral_density_maximum,Not present,area: areacello,area: mean where sea time: mean,"Wave period associated with the most energetic waves in total wave spectrum, incorporating both wind-sea and swell waves. In spectral wind wave models, this represents the spectral peak across the entire two-dimensional wave spectrum, incorporating both wind-sea and swell waves.",longitude latitude time,6hr,Total Wave Peak Period,ocean,,"The 3-hourly version of this variable is preferable for the science goals, but if this is not possible the 6-hourly version may be archived instead. Please do not provide both.",GLB,s,New,,,,,,
Variable REMOVED (6hr.wpdir),139,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/139,6hr ocean do-not-produce,wpdir_tavg-u-hxy-sea,sea_surface_wave_from_direction_at_variance_spectral_density_maximum,Not present,area: areacello,area: mean where sea time: mean,"Direction of wave propagation (direction from which the wave is coming) derived from the total wave energy spectrum, incorporating both wind-sea and swell waves, by identifying the direction associated with the peak (maximum) energy density. This variable is usually expressed in degrees relative to true north.",longitude latitude time,6hr,Total Peak Wave Direction,ocean,,"The 3-hourly version of this variable is preferable for the science goals, but if this is not possible the 6-hourly version may be archived instead. Please do not provide both.",GLB,degree,New,,,,,,
Variable REMOVED (6hr.wdir),136,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/136,6hr ocean do-not-produce,wdir_tavg-u-hxy-sea,sea_surface_wave_from_direction,Not present,area: areacello,area: mean where sea time: mean,"Mean direction of wave propagation (direction from which the wave is coming) derived from the total wave energy spectrum, incorporating both wind-sea and swell waves. This variable is usually expressed in degrees relative to true north.",longitude latitude time,6hr,Total Wave Direction,ocean,,"The 3-hourly version of this variable is preferable for the science goals, but if this is not possible the 6-hourly version may be archived instead. Please do not provide both.",GLB,degree,New,,,,,,
Variable REMOVED (6hr.swh),132,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/132,6hr ocean do-not-produce,swh_tavg-u-hxy-sea,sea_surface_wave_significant_height,Not present,area: areacello,area: mean where sea time: mean,"Average height of the highest one-third of waves present in the sea state, incorporating both wind-sea and swell waves. This is a key parameter for describing wave energy and is derived from the wave spectrum using spectral moments. Specifically, this parameter is four times the square root of the integral over all directions and all frequencies of the two-dimensional wave spectrum.",longitude latitude time,6hr,Total Significant Wave Height,ocean,,"The 3-hourly version of this variable is preferable for the science goals, but if this is not possible the 6-hourly version may be archived instead. Please do not provide both.",GLB,m,New,,,,,,
Variable REMOVED (6hr.mpw),127,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/127,6hr ocean do-not-produce,mpw_tavg-u-hxy-sea,sea_surface_wave_mean_period,Not present,area: areacello,area: mean where sea time: mean,"Average wave period (i.e., time in-between two wave crests) across the entire two-dimensional wave spectrum, incorporating both wind-sea and swell waves. In spectral wind wave models, it is calculated using spectral moments, mathematical measures that describe the shape and characteristics of the wave spectrum.",longitude latitude time,6hr,Total Wave Mean Period,ocean,,"The 3-hourly version of this variable is preferable for the science goals, but if this is not possible the 6-hourly version may be archived instead. Please do not provide both.",GLB,s,New,,,,,,
Variable REMOVED (3hrPt.wpp),126,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/126,3hr ocean do-not-produce,unknown05,sea_surface_wave_period_at_variance_spectral_density_maximum,Not present,area: areacello,area: mean where sea time: mean,"Wave period associated with the most energetic waves in total wave spectrum, incorporating both wind-sea and swell waves. In spectral wind wave models, this represents the spectral peak across the entire two-dimensional wave spectrum, incorporating both wind-sea and swell waves.",longitude latitude time1,3hr,Total Wave Peak Period,ocean,,,GLB,s,New,,,,,,
