title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM-GC3.1,Expression HadGEM-GC5,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM 1-3,Expression UKESM1,Expression UKESM1-3,Expression UKESM2,Model units
Variable aerosol.reffccwctop.tavg-u-hxy-ccl.mon.GLB (Emon.reffccwctop),988,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/988,mon aerosol atmos do-not-produce,reffccwctop_tavg-u-hxy-ccl,effective_radius_of_cloud_condensed_water_particles_at_cloud_top,Not present,area: areacella,area: time: mean where convective_cloud,Cloud-Top Effective Radius of Liquid or Ice Cloud at Liquid or Ice Cloud Top,longitude latitude time,mon,Cloud-Top Effective Radius of Liquid or Ice Cloud at Liquid or Ice Cloud Top,aerosol,,,GLB,m,New,,,,,,,,,
Variable aerosol.ec550aer.tavg-al-hxy-u.mon.GLB (Emon.ec550aer),877,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/877,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,ec550aer_tavg-al-hxy-u,volume_extinction_coefficient_in_air_due_to_ambient_aerosol_particles,,area: areacella,area: time: mean (weighted by downwelling solar radiation),Aerosol Extinction at 550nm,longitude latitude alevel time lambda550nm,mon,Aerosol Extinction Coefficient,aerosol,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:area: time: mean (weighted by downwelling solar radiation),",GLB,m-1,CMIP6 CMOR variable,,,"m01s02i530[lbplev=3, lbproc=128] + m01s02i540[lbplev=3, lbproc=128]","m01s02i530[lbplev=3, lbproc=128] + m01s02i540[lbplev=3, lbproc=128]",,"m01s02i530[lbplev=3, lbproc=128] + m01s02i540[lbplev=3, lbproc=128]","m01s02i530[lbplev=3, lbproc=128] + m01s02i540[lbplev=3, lbproc=128]",,m-1
Variable aerosol.depdust.tavg-u-hxy-u.mon.GLB (Emon.depdust),875,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/875,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,depdust_tavg-u-hxy-u,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_deposition,,area: areacella,area: time: mean,Fdry mass deposition rate of dust,longitude latitude time,mon,Total Deposition Rate of Dust,aerosol,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,m01s03i440[lbproc=128],m01s03i440[lbproc=128],,m01s03i440[lbproc=128],m01s03i440[lbproc=128],,kg m-2 s-1
Variable aerosol.ccldncl.tavg-u-hxy-ccl.mon.GLB (Emon.ccldncl),858,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/858,mon aerosol atmos approved,ccldncl_tavg-u-hxy-ccl,number_concentration_of_convective_cloud_liquid_water_particles_at_convective_liquid_water_cloud_top,Not present,area: areacella,"area: time: mean where convective_cloud (mean over the portion of the cell containing liquid topped cloud, as seen from top of atmosphere)",Cloud Droplet Number Concentration of Convective Cloud Tops,longitude latitude time,mon,Cloud Droplet Number Concentration of Convective Cloud Tops,aerosol,,,GLB,m-3,New,,,"mask_using_cube(m01s01i298[lbproc=128] / m01s01i299[lbproc=128], m01s02i395[lbproc=128] + m01s02i396[lbproc=128])","mask_using_cube(m01s01i298[lbproc=128] / m01s01i299[lbproc=128], m01s02i395[lbproc=128] + m01s02i396[lbproc=128])",,"mask_using_cube(m01s01i298[lbproc=128] / m01s01i299[lbproc=128], m01s02i395[lbproc=128] + m01s02i396[lbproc=128])","mask_using_cube(m01s01i298[lbproc=128] / m01s01i299[lbproc=128], m01s02i395[lbproc=128] + m01s02i396[lbproc=128])",,cm-3
Variable aerosol.ccldncl.tavg-u-hxy-ccl.day.GLB (Eday.ccldncl),707,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/707,day atmos CMIP6 UKESM1 HadGEM3-GC31 approved,ccldncl_tavg-u-hxy-ccl,number_concentration_of_convective_cloud_liquid_water_particles_at_convective_liquid_water_cloud_top,"""standard_name"" was ""number_concentration_of_convective_cloud_liquid_water_particle_at_convective_liquid_water_cloud_top"";",area: areacella,"area: time: mean where convective_cloud (mean over the portion of the cell containing liquid topped cloud, as seen from top of atmosphere)","Droplets are liquid only. Report concentration 'as seen from space' over convective liquid cloudy portion of grid cell. This is the value from uppermost model layer with liquid cloud or, if available, it is better to sum over all liquid cloud tops, no matter where they occur, as long as they are seen from the top of the atmosphere. Weight by total liquid cloud top fraction of (as seen from TOA) each time sample when computing monthly mean.",longitude latitude time,day,Cloud Droplet Number Concentration of Convective Cloud Tops,aerosol,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:area: time: mean where convective_cloud (mean over the portion of the cell containing liquid topped cloud, as seen from top of atmosphere),",GLB,m-3,CMIP6 CMOR variable,,,"mask_using_cube(m01s01i298[lbproc=128] / m01s01i299[lbproc=128], m01s02i395[lbproc=128] + m01s02i396[lbproc=128])","mask_using_cube(m01s01i298[lbproc=128] / m01s01i299[lbproc=128], m01s02i395[lbproc=128] + m01s02i396[lbproc=128])",,"mask_using_cube(m01s01i298[lbproc=128] / m01s01i299[lbproc=128], m01s02i395[lbproc=128] + m01s02i396[lbproc=128])","mask_using_cube(m01s01i298[lbproc=128] / m01s01i299[lbproc=128], m01s02i395[lbproc=128] + m01s02i396[lbproc=128])",,cm-3
Variable aerosol.so2.tavg-h2m-hxy-u.3hr.GLB (E3hrPt.so2),702,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/702,3hr aerosol,so2_tavg-h2m-hxy-u,mole_fraction_of_sulfur_dioxide_in_air,Not present,::MODEL,area: point time: point,"This variable represents the instantaneous surface so2 volume mixing ration at CF sites, sampled every 3 hours",site time1 lowerModelLayer,3hr,Surface SO2 volume mixing ratio at CF sites,aerosol,,,GLB,mol mol-1,New,(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_SO2) * m01s34i072[lbproc=0],(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_SO2) * m01s34i072[lbproc=0],,,,(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_SO2) * m01s34i072[lbproc=0],(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_SO2) * m01s34i072[lbproc=0],,
Variable aerosol.mmrss.tpt-h2m-hxys-u.3hr.GLB (E3hrPt.mmrss),701,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/701,3hr aerosol,mmrss_tpt-h2m-hxys-u,mass_fraction_of_sea_salt_dry_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"This variable represents instantaneous surface sea salt aerosol mass mixing ratio at CF sites, sampled every 3 hours",site time1 lowerModelLayer,3hr,Sea salt Aerosol Mass Mixing Ratio at CF sites,aerosol,,,GLB,kg kg-1,New,,,,,,,,,
Variable aerosol.mmrso4.tpt-h2m-hxys-u.3hr.GLB (E3hrPt.mmrso4),700,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/700,3hr aerosol,mmrso4_tpt-h2m-hxys-u,mass_fraction_of_sulfate_dry_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"This variable is for instantaneous surface mass mixing ratio of sulfate aerosol at CF sites, sampled every 3 hours",site time1 lowerModelLayer,3hr,Instantaneous Aerosol Sulfate Mass Mixing Ratio at CF sites,aerosol,,,GLB,kg kg-1,New,,,,,,,,,
Variable aerosol.mmroa.tpt-h2m-hxys-u.3hr.GLB (E3hrPt.mmroa),699,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/699,3hr aerosol,mmroa_tpt-h2m-hxys-u,mass_fraction_of_particulate_organic_matter_dry_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"This variable represents the instantaneous surface organic aerosol Mass Mixing Ratio at CF sites, sampled every 3 hours.",site time1 lowerModelLayer,3hr,Instantaneous surface total organic aerosol mass mixing ratio at CF sites,aerosol,,,GLB,kg kg-1,New,,,,,,,,,
Variable aerosol.mmrno3.tpt-h2m-hxys-u.3hr.GLB (E3hrPt.mmrno3),698,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/698,3hr aerosol,mmrno3_tpt-h2m-hxys-u,mass_fraction_of_nitrate_dry_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"This variable represents the instantaneous surface NO3 Aerosol Mass Mixing Ratio at CF sites, sampled every 3 hours",site time1 lowerModelLayer,3hr,Instantaneous surface NO3 aerosol mass mixing ratio at CF sites,aerosol,,,GLB,kg kg-1,New,,,,,,,,,
