title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Expression UKESM2,Model units
Variable atmosChem.flashrate.tavg-u-hxy-u.mon.GLB (Emon.flashrate),917,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/917,mon atmosChem CMIP6 UKESM1 approved approved_UKESM,flashrate_tavg-u-hxy-u,frequency_of_lightning_flashes_per_unit_area,"""comment"" was ""proposed name: lightning_flash_rate (units to be interpreted as 'counts km-2 s-1)"";",area: areacella,area: time: mean,Lightning Flash Rate,longitude latitude time,mon,Lightning Flash Rate,atmosChem,,,GLB,km-2 s-1,CMIP6 CMOR variable,,,div_by_area(m01s50i082[lbproc=128]),div_by_area(m01s50i082[lbproc=128]),,m-2 min-1
Variable atmosChem.flashrate.tavg-u-hxy-u.day.GLB (Eday.flashrate),724,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/724,day atmosChem approved_UKESM,flashrate_tavg-u-hxy-u,frequency_of_lightning_flashes_per_unit_area,Not present,area: areacella,area: time: mean,Lightning Flash Rate,longitude latitude time,day,Lightning Flash Rate,atmosChem,,frequency of lightning flashes per unit area,GLB,km-2 s-1,New,,,div_by_area(m01s50i082[lbproc=128]),div_by_area(m01s50i082[lbproc=128]),,m-2 min-1
Variable atmosChem.o3.tavg-p39-hy-air.mon.GLB (AERmonZ.o3),441,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/441,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,o3_tavg-p39-hy-air,mole_fraction_of_ozone_in_air,"""cell_methods"" was ""longitude: mean time: mean"";",,longitude: time: mean where air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",latitude plev39 time,mon,Mole Fraction of O3,atmosChem,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: mean time: mean CMIP7:longitude: time: mean where air,",GLB,mol mol-1,CMIP6 CMOR variable,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s51i001[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s51i001[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s51i001[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s51i001[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",,mol mol-1
Variable atmosChem.n2o.tavg-p39-hy-air.mon.GLB (AERmonZ.n2o),439,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/439,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,n2o_tavg-p39-hy-air,mole_fraction_of_nitrous_oxide_in_air,"""cell_methods"" was ""longitude: mean time: mean"";",,longitude: time: mean where air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y. The chemical formula of nitrous oxide is N2O.",latitude plev39 time,mon,Mole Fraction of N2O,atmosChem,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: mean time: mean CMIP7:longitude: time: mean where air,",GLB,mol mol-1,CMIP6 CMOR variable,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_N2O) * m01s51i049[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_N2O) * m01s51i049[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_N2O) * m01s51i049[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_N2O) * m01s51i049[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",,mol mol-1
Variable atmosChem.meanage.tavg-p39-hy-air.mon.GLB (AERmonZ.meanage),438,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/438,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,meanage_tavg-p39-hy-air,age_of_stratospheric_air,"""cell_methods"" was ""longitude: mean time: mean"";",,longitude: time: mean where air,The mean age of air is defined as the mean time that a stratospheric air mass has been out of contact with the well-mixed troposphere.,latitude plev39 time,mon,Mean Age of Stratospheric Air,atmosChem,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: mean time: mean CMIP7:longitude: time: mean where air,",GLB,yr,CMIP6 CMOR variable,"(m01s51i150[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]) / (SECONDS_IN_DAY * DAYS_IN_YEAR)","(m01s51i150[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]) / (SECONDS_IN_DAY * DAYS_IN_YEAR)","(m01s51i150[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]) / (SECONDS_IN_DAY * DAYS_IN_YEAR)","(m01s51i150[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]) / (SECONDS_IN_DAY * DAYS_IN_YEAR)",,yr
Variable atmosChem.ch4.tavg-p39-hy-air.mon.GLB (AERmonZ.ch4),432,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/432,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,ch4_tavg-p39-hy-air,mole_fraction_of_methane_in_air,"""cell_methods"" was ""longitude: mean time: mean"";",,longitude: time: mean where air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",latitude plev39 time,mon,Mole Fraction of CH4,atmosChem,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: mean time: mean CMIP7:longitude: time: mean where air,",GLB,mol mol-1,CMIP6 CMOR variable,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_CH4) * m01s51i009[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_CH4) * m01s51i009[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_CH4) * m01s51i009[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_CH4) * m01s51i009[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",,mol mol-1
Variable atmosChem.wetnoy.tavg-u-hxy-u.mon.GLB (AERmon.wetnoy),424,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/424,mon aerosol atmosChem CMIP6 approved_UKESM,wetnoy_tavg-u-hxy-u,minus_tendency_of_atmosphere_mass_content_of_noy_expressed_as_nitrogen_due_to_wet_deposition,"""comment"" was ""NOy is the sum of all simulated oxidized nitrogen species, out of NO, NO2, HNO3, HNO4, NO3 aerosol, NO3 (radical), N2O5, PAN, other organic nitrates."";",area: areacella,area: time: mean,"NOy is the sum of all simulated oxidized nitrogen species, out of NO, NO2, HNO3, HNO4, NO3aerosol, NO3(radical), N2O5, PAN, other organic nitrates.",longitude latitude time,mon,Wet Deposition Rate of NOy Including Aerosol Nitrate,atmosChem,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,"achem_emdrywet( MOLECULAR_MASS_OF_NITROGEN, m01s50i241[lbproc=128], sumlev='True', areadiv='True')","achem_emdrywet( MOLECULAR_MASS_OF_NITROGEN, m01s50i241[lbproc=128], sumlev='True', areadiv='True')",,g m-2 s-1
Variable atmosChem.wetno3.tavg-al-hxy-u.mon.GLB (AERmon.wetno3),423,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/423,mon atmosChem do-not-produce,wetno3_tavg-al-hxy-u,tendency_of_atmosphere_mass_content_of_nitrate_dry_aerosol_particles_due_to_wet_deposition,Not present,area: areacella,area: time: mean,This is the loss rate of nitrate aerosol from the atmosphere due to wet deposition,longitude latitude alevel time,mon,Wet deposition of nitrate aerosol,atmosChem,,,GLB,kg m-2 s-1,New,,,,,,
Variable atmosChem.wetnh4.tavg-u-hxy-u.mon.GLB (AERmon.wetnh4),422,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/422,mon aerosol CMIP6 do-not-produce,wetnh4_tavg-u-hxy-u,minus_tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_particles_due_to_wet_deposition,,area: areacella,area: time: mean,Surface deposition rate of ammonium (NH4) due to wet processes,longitude latitude time,mon,Wet Deposition Rate of NH4,atmosChem,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,,,
Variable atmosChem.wetnh3.tavg-u-hxy-u.mon.GLB (AERmon.wetnh3),421,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/421,mon aerosol CMIP6 do-not-produce,wetnh3_tavg-u-hxy-u,minus_tendency_of_atmosphere_mass_content_of_ammonia_due_to_wet_deposition,,area: areacella,area: time: mean,Surface deposition rate of ammonia (NH3) due to wet processes,longitude latitude time,mon,Wet Deposition Rate of NH3,atmosChem,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,,,
