title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Expression UKESM2,Model units
Variable atmosChem.flashrate.tavg-u-hxy-u.mon.glb (Emon.flashrate),917,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/917,mon atmosChem CMIP6 UKESM1 approved approved_UKESM,flashrate_tavg-u-hxy-u,frequency_of_lightning_flashes_per_unit_area,"""comment"" was ""proposed name: lightning_flash_rate (units to be interpreted as 'counts km-2 s-1)"";",area: areacella,area: time: mean,Lightning Flash Rate,longitude latitude time,mon,Lightning Flash Rate,atmosChem,,,GLB,km-2 s-1,CMIP6 CMOR variable,,,div_by_area(m01s50i082[lbproc=128]),div_by_area(m01s50i082[lbproc=128]),,m-2 min-1
Variable atmosChem.o3.tavg-p39-hy-air.mon.glb (AERmonZ.o3),441,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/441,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,o3_tavg-p39-hy-air,mole_fraction_of_ozone_in_air,"""cell_methods"" was ""longitude: mean time: mean"";",,longitude: time: mean where air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",latitude plev39 time,mon,Mole Fraction of O3,atmosChem,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: mean time: mean CMIP7:longitude: time: mean where air,",GLB,mol mol-1,CMIP6 CMOR variable,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s51i001[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s51i001[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s51i001[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s51i001[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",,mol mol-1
Variable atmosChem.n2o.tavg-p39-hy-air.mon.glb (AERmonZ.n2o),439,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/439,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,n2o_tavg-p39-hy-air,mole_fraction_of_nitrous_oxide_in_air,"""cell_methods"" was ""longitude: mean time: mean"";",,longitude: time: mean where air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y. The chemical formula of nitrous oxide is N2O.",latitude plev39 time,mon,Mole Fraction of N2O,atmosChem,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: mean time: mean CMIP7:longitude: time: mean where air,",GLB,mol mol-1,CMIP6 CMOR variable,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_N2O) * m01s51i049[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_N2O) * m01s51i049[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_N2O) * m01s51i049[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_N2O) * m01s51i049[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",,mol mol-1
Variable atmosChem.meanage.tavg-p39-hy-air.mon.glb (AERmonZ.meanage),438,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/438,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,meanage_tavg-p39-hy-air,age_of_stratospheric_air,"""cell_methods"" was ""longitude: mean time: mean"";",,longitude: time: mean where air,The mean age of air is defined as the mean time that a stratospheric air mass has been out of contact with the well-mixed troposphere.,latitude plev39 time,mon,Mean Age of Stratospheric Air,atmosChem,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: mean time: mean CMIP7:longitude: time: mean where air,",GLB,yr,CMIP6 CMOR variable,"(m01s51i150[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]) / (SECONDS_IN_DAY * DAYS_IN_YEAR)","(m01s51i150[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]) / (SECONDS_IN_DAY * DAYS_IN_YEAR)","(m01s51i150[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]) / (SECONDS_IN_DAY * DAYS_IN_YEAR)","(m01s51i150[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]) / (SECONDS_IN_DAY * DAYS_IN_YEAR)",,yr
Variable atmosChem.ch4.tavg-p39-hy-air.mon.glb (AERmonZ.ch4),432,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/432,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,ch4_tavg-p39-hy-air,mole_fraction_of_methane_in_air,"""cell_methods"" was ""longitude: mean time: mean"";",,longitude: time: mean where air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",latitude plev39 time,mon,Mole Fraction of CH4,atmosChem,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: mean time: mean CMIP7:longitude: time: mean where air,",GLB,mol mol-1,CMIP6 CMOR variable,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_CH4) * m01s51i009[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_CH4) * m01s51i009[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_CH4) * m01s51i009[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_CH4) * m01s51i009[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",,mol mol-1
Variable atmosChem.wetnoy.tavg-u-hxy-u.mon.glb (AERmon.wetnoy),424,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/424,mon aerosol atmosChem CMIP6 approved_UKESM,wetnoy_tavg-u-hxy-u,minus_tendency_of_atmosphere_mass_content_of_noy_expressed_as_nitrogen_due_to_wet_deposition,"""comment"" was ""NOy is the sum of all simulated oxidized nitrogen species, out of NO, NO2, HNO3, HNO4, NO3 aerosol, NO3 (radical), N2O5, PAN, other organic nitrates."";",area: areacella,area: time: mean,"NOy is the sum of all simulated oxidized nitrogen species, out of NO, NO2, HNO3, HNO4, NO3aerosol, NO3(radical), N2O5, PAN, other organic nitrates.",longitude latitude time,mon,Wet Deposition Rate of NOy Including Aerosol Nitrate,atmosChem,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,"achem_emdrywet( MOLECULAR_MASS_OF_NITROGEN, m01s50i241[lbproc=128], sumlev='True', areadiv='True')","achem_emdrywet( MOLECULAR_MASS_OF_NITROGEN, m01s50i241[lbproc=128], sumlev='True', areadiv='True')",,g m-2 s-1
Variable atmosChem.wetnh4.tavg-u-hxy-u.mon.glb (AERmon.wetnh4),422,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/422,mon aerosol CMIP6 do-not-produce,wetnh4_tavg-u-hxy-u,minus_tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_particles_due_to_wet_deposition,,area: areacella,area: time: mean,Surface deposition rate of ammonium (NH4) due to wet processes,longitude latitude time,mon,Wet Deposition Rate of NH4,atmosChem,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,,,
Variable atmosChem.wetnh3.tavg-u-hxy-u.mon.glb (AERmon.wetnh3),421,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/421,mon aerosol CMIP6 do-not-produce,wetnh3_tavg-u-hxy-u,minus_tendency_of_atmosphere_mass_content_of_ammonia_due_to_wet_deposition,,area: areacella,area: time: mean,Surface deposition rate of ammonia (NH3) due to wet processes,longitude latitude time,mon,Wet Deposition Rate of NH3,atmosChem,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,,,
Variable atmosChem.o3ste.tavg-al-hxy-u.mon.glb (AERmon.o3ste),367,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/367,mon atmosChem CMIP6 do-not-produce,o3ste_tavg-al-hxy-u,mole_fraction_of_ozone_in_air,"""comment"" was ""Ozone tracer intended to map out strat-trop exchange (STE) of ozone. Set to ozone in the stratosphere, then destroyed in the troposphere using the ozone chemical loss rate. Please specify the tropopause definition used""; ; ""modeling_realm"" was ""aerosol"";",area: areacella,area: time: mean,Ozone tracer intended to map out strat-trop exchange (STE) of ozone.,longitude latitude alevel time,mon,Stratospheric Ozone Tracer Volume Mixing Ratio,atmosChem,,,GLB,mol mol-1,CMIP6 CMOR variable,,,,,,
Variable atmosChem.o3.tavg-al-hxy-u.mon.glb (AERmon.o3),363,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/363,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,o3_tavg-al-hxy-u,mole_fraction_of_ozone_in_air,,area: areacella,area: time: mean,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",longitude latitude alevel time,mon,Mole Fraction of O3,atmosChem,,,GLB,mol mol-1,CMIP6 CMOR variable,(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s34i001[lbproc=128],(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s34i001[lbproc=128],(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s34i001[lbproc=128],(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s34i001[lbproc=128],,mol mol-1
Variable atmosChem.n2o.tavg-al-hxy-u.mon.glb (AERmon.n2o),359,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/359,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,n2o_tavg-al-hxy-u,mole_fraction_of_nitrous_oxide_in_air,,area: areacella,area: time: mean,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y. The chemical formula of nitrous oxide is N2O.",longitude latitude alevel time,mon,Mole Fraction of N2O,atmosChem,,,GLB,mol mol-1,CMIP6 CMOR variable,(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_N2O) * m01s34i049[lbproc=128],(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_N2O) * m01s34i049[lbproc=128],(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_N2O) * m01s34i049[lbproc=128],(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_N2O) * m01s34i049[lbproc=128],,mol mol-1
Variable atmosChem.drynoy.tavg-u-hxy-u.mon.glb (AERmon.drynoy),285,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/285,mon aerosol CMIP6 UKESM1 approved,drynoy_tavg-u-hxy-u,minus_tendency_of_atmosphere_mass_content_of_noy_expressed_as_nitrogen_due_to_dry_deposition,"""comment"" was ""NOy is the sum of all simulated oxidized nitrogen species out of NO, NO2, HNO3, HNO4, NO3 aerosol, NO3(radical), N2O5, PAN, other organic nitrates. Dry deposition includes gravitational settling, impact scavenging, and turbulent deposition."";",area: areacella,area: time: mean,Dry Deposition Rate of NOy,longitude latitude time,mon,Dry Deposition Rate of NOy,atmosChem,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,"achem_emdrywet( MOLECULAR_MASS_OF_NITROGEN, m01s50i242[lbproc=128], sumlev='True', areadiv='True')","achem_emdrywet( MOLECULAR_MASS_OF_NITROGEN, m01s50i242[lbproc=128], sumlev='True', areadiv='True')",,g m-2 s-1
Variable atmosChem.drynh4.tavg-u-hxy-u.mon.glb (AERmon.drynh4),283,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/283,mon aerosol CMIP6 do-not-produce UKESM2,drynh4_tavg-u-hxy-u,minus_tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_particles_due_to_dry_deposition,"""comment"" was ""dry deposition includes gravitational settling, impact scavenging, and turbulent deposition"";",area: areacella,area: time: mean,Dry Deposition Rate of NH4,longitude latitude time,mon,Dry Deposition Rate of NH4,atmosChem,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,,"achem_emdrywet( MOLECULAR_MASS_OF_NH4, m01s38i584[lbproc=128]+m01s38i585[lbproc=128]+m01s38i586[lbproc=128]+m01s38i587[lbproc=128], sumlev='True', areadiv='True')",g m-2 s-1
Variable atmosChem.drynh3.tavg-u-hxy-u.mon.glb (AERmon.drynh3),282,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/282,mon aerosol CMIP6 do-not-produce,drynh3_tavg-u-hxy-u,minus_tendency_of_atmosphere_mass_content_of_ammonia_due_to_dry_deposition,"""comment"" was ""dry deposition includes gravitational settling, impact scavenging, and turbulent deposition"";",area: areacella,area: time: mean,Monthly Dry Deposition Rate of NH3 at surface,longitude latitude time,mon,Dry Deposition Rate of NH3,atmosChem,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,,,
Variable atmosChem.dms.tavg-al-hxy-u.mon.glb (AERmon.dms),276,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/276,mon atmosChem CMIP6 UKESM1 HadGEM3-GC31 approved,dms_tavg-al-hxy-u,mole_fraction_of_dimethyl_sulfide_in_air,"""modeling_realm"" was ""aerosol"";",area: areacella,area: time: mean,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",longitude latitude alevel time,mon,Dimethyl Sulphide (DMS) Mole Fraction,atmosChem,,,GLB,mol mol-1,CMIP6 CMOR variable,m01s34i071[lbproc=128] * (MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_DMS),m01s34i071[lbproc=128] * (MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_DMS),m01s34i071[lbproc=128] * (MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_DMS),m01s34i071[lbproc=128] * (MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_DMS),,mol mol-1
Variable atmosChem.ch4.tavg-al-hxy-u.mon.glb (AERmon.ch4),262,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/262,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,ch4_tavg-al-hxy-u,mole_fraction_of_methane_in_air,,area: areacella,area: time: mean,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",longitude latitude alevel time,mon,Mole Fraction of CH4,atmosChem,,,GLB,mol mol-1,CMIP6 CMOR variable,(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_CH4) * m01s34i009[lbproc=128],(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_CH4) * m01s34i009[lbproc=128],(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_CH4) * m01s34i009[lbproc=128],(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_CH4) * m01s34i009[lbproc=128],,mol mol-1
Variable atmosChem.o3.tclm-p19-hxy-air.mon.glb (Amon.o3Clim),39,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/39,mon atmosChem CMIP6 do-not-produce,o3_tclm-p19-hxy-air,mole_fraction_of_ozone_in_air,"""frequency"" was ""monC""; ; ""cell_methods"" was ""area: mean time: mean within years time: mean over years""; ; ""modeling_realm"" was ""atmos atmosChem"";",area: areacella,area: mean where air time: mean within years time: mean over years,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",longitude latitude plev19 time2,mon,Mole Fraction of O3,atmosChem,,"If O3 does not vary from one year to the next, report 12 months, starting with January. (Note: include all 12 months even if the values do not vary seasonally.) When calling CMOR, identify this variable as tro3Clim, not tro3. If the O3 varies from one year to the next, then report instead the field described in the previous table entry. Are these the preferred units or should it be a unitless fraction? Should this field be reported instead on model levels? Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)? CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean time: mean within years time: mean over years CMIP7:area: mean where air time: mean within years time: mean over years,",GLB,mol mol-1,CMIP6 CMOR variable,,,,,,
Variable atmosChem.o3.tavg-p19-hxy-air.mon.glb (Amon.o3),38,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/38,mon atmosChem CMIP6 UKESM1 HadGEM3-GC31 approved,o3_tavg-p19-hxy-air,mole_fraction_of_ozone_in_air,"""modeling_realm"" was ""atmos atmosChem"";",area: areacella,area: time: mean where air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",longitude latitude plev19 time,mon,Mole Fraction of O3,atmosChem,,"If this does not change over time (except possibly to vary identically over each annual cycle), report instead the variable described in the next table entry. Are these the preferred units or should it be a unitless fraction? Should this field be reported instead on model levels? Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)? CHANGE SINCE CMIP6 in Cell Methods - CMIP6:time: mean CMIP7:area: time: mean where air,",GLB,mol mol-1,CMIP6 CMOR variable,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s51i001[blev=PLEV19, lbproc=128] / m01s51i999[blev=PLEV19, lbproc=128]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s51i001[blev=PLEV19, lbproc=128] / m01s51i999[blev=PLEV19, lbproc=128]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s51i001[blev=PLEV19, lbproc=128] / m01s51i999[blev=PLEV19, lbproc=128]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s51i001[blev=PLEV19, lbproc=128] / m01s51i999[blev=PLEV19, lbproc=128]",,mol mol-1
Variable atmosChem.n2o.tclm-u-hm-u.mon.glb (Amon.n2oglobalClim),37,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/37,mon atmosChem CMIP6 do-not-produce,n2o_tclm-u-hm-u,mole_fraction_of_nitrous_oxide_in_air,"""frequency"" was ""monC""; ; ""cell_methods"" was ""area: mean time: mean within years time: mean over years""; ; ""units"" was ""1e-09""; ; ""modeling_realm"" was ""atmos atmosChem"";",,height: area: time: mean (with all samples weighted by the number of moles of air in the sample),Global mean Nitrous Oxide (N2O),time2,mon,Global Mean Mole Fraction of N2O,atmosChem,,"Report only for simulations (e.g., prescribed concentration pi-control run), in which the N2O does not vary from one year to the next. Report 12 monthly values, starting with January, even if the values do not vary seasonally. When calling CMOR, identify this variable as ch4globalClim, not ch4global. If N2O is spatially nonuniform, omit this field, but report Global Mean Mole Fraction of N2O (see the table entry before the previous one). Are these the preferred units or should it be a unitless fraction? Should this field be reported instead on model levels? Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)? CHANGE SINCE CMIP6 in Units (from Physical Parameter) - CMIP6:1.00E-09 CMIP7:mol mol-1, CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean time: mean within years time: mean over years CMIP7:height: area: time: mean (with all samples weighted by the number of moles of air in the sample),",GLB,mol mol-1,CMIP6 CMOR variable,,,,,,
Variable atmosChem.n2o.tavg-u-hm-u.mon.glb (Amon.n2oglobal),36,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/36,mon atmosChem CMIP6 UKESM1 HadGEM3-GC31 approved,n2o_tavg-u-hm-u,mole_fraction_of_nitrous_oxide_in_air,"""units"" was ""1e-09""; ; ""modeling_realm"" was ""atmos atmosChem""; ; ""cell_methods"" was ""area: time: mean"";",,height: area: time: mean (with all samples weighted by the number of moles of air in the sample),Global mean Nitrous Oxide (N2O),time,mon,Global Mean Mole Fraction of N2O,atmosChem,,"For some simulations (e.g., prescribed concentration pi-control run), this will not vary from one year to the next, and so report instead the variable described in the next table entry. If N2O is spatially nonuniform, omit this field, but report Mole Fraction of N2O (see the table entry before the previous one). Are these the preferred units or should it be a unitless fraction? Should this field be reported instead on model levels? Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)? CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:height: area: time: mean (with all samples weighted by the number of moles of air in the sample),",GLB,1E-09,CMIP6 CMOR variable,"mmr2molefrac(m01s50i063[lbproc=128], m01s34i049[lbproc=128], MOLECULAR_MASS_OF_N2O)","mmr2molefrac(m01s50i063[lbproc=128], m01s34i049[lbproc=128], MOLECULAR_MASS_OF_N2O)","mmr2molefrac(m01s50i063[lbproc=128], m01s34i049[lbproc=128], MOLECULAR_MASS_OF_N2O)","mmr2molefrac(m01s50i063[lbproc=128], m01s34i049[lbproc=128], MOLECULAR_MASS_OF_N2O)",,1
Variable atmosChem.n2o.tclm-p19-hxy-air.mon.glb (Amon.n2oClim),35,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/35,mon atmosChem CMIP6 do-not-produce,n2o_tclm-p19-hxy-air,mole_fraction_of_nitrous_oxide_in_air,"""frequency"" was ""monC""; ; ""cell_methods"" was ""area: mean time: mean within years time: mean over years""; ; ""modeling_realm"" was ""atmos atmosChem"";",area: areacella,area: mean where air time: mean within years time: mean over years,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y. The chemical formula of nitrous oxide is N2O.",longitude latitude plev19 time2,mon,Mole Fraction of N2O,atmosChem,,"Report only for simulations (e.g., prescribed concentration pi-control run), in which the N2O does not vary from one year to the next. Report 12 monthly values, starting with January, even if the values do not vary seasonally. When calling CMOR, identify this variable as n2oglobal, not n2o. If N2O is spatially uniform, omit this field, but report Global Mean Mole Fraction of N2O (see the table entry after the next). Are these the preferred units or should it be a unitless fraction? Should this field be reported instead on model levels? Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)? CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean time: mean within years time: mean over years CMIP7:area: mean where air time: mean within years time: mean over years,",GLB,mol mol-1,CMIP6 CMOR variable,,,,,,
