title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,HadGEM3-GC31,HadGEM3-GC5,Model units,UKESM1,UKESM1-3
Variable landIce.snc.tavg-u-hxy-lnd.mon.GLB (LImon.snc),1862,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1862,mon landIce CMIP6 UKESM1 HadGEM3-GC31 BCV approved,snc_tavg-u-hxy-lnd,surface_snow_area_fraction,"""comment"" was ""Percentage of each grid cell that is occupied by snow that rests on land portion of cell.""; ; ""modeling_realm"" was ""landIce land"";",area: areacella,area: time: mean,Fraction of each grid cell that is occupied by snow that rests on land portion of cell.,longitude latitude time,mon,Snow Area Percentage,landIce,,,GLB,%,CMIP6 CMOR variable,"snc_calc(m01s08i236[lbproc=128], m01s03i317[lbproc=128], m01s03i395[lbproc=128])","snc_calc(m01s08i236[lbproc=128], m01s03i317[lbproc=128], m01s03i395[lbproc=128])","snc_calc(m01s08i236[lbproc=128], m01s03i317[lbproc=128], m01s03i395[lbproc=128])","snc_calc(m01s08i236[lbproc=128], m01s03i317[lbproc=128], m01s03i395[lbproc=128])",,,%,,
Variable landIce.lithk.ti-u-hxy-u.fx.GLB (fx.lithk),1849,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1849,fx landIce,lithk_ti-u-hxy-u,land_ice_thickness,Not present,area: areacella,area: mean,"This variable identifies the thickness of a prescribed ice sheet. This information is relevant to better understand how different models treat ice. For models where an ice sheet is just orography + an ice sheet mask, the value should be set to zero. For models that explicitly resolve an ice sheet thickness, the thickness of the ice sheet should be provided.",longitude latitude,fx,Ice sheet thickness,landIce,,,GLB,m,New,,,,,,,,,
Variable landIce.snw.tavg-u-hxy-lnd.day.GLB (day.snw),1830,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1830,day landIce CMIP6 UKESM1 HadGEM3-GC31 approved,snw_tavg-u-hxy-lnd,surface_snow_amount,"""comment"" was ""The mass of surface snow on the land portion of the grid cell divided by the land area in the grid cell; reported as missing where the land fraction is 0; excludes snow on vegetation canopy or on sea ice.""; ; ""modeling_realm"" was ""landIce land"";",area: areacella,area: mean where land time: mean,the mass of surface snow on the land portion of the grid cell divided by the land area in the grid cell; reported as missing where the land fraction is 0; excludes snow on vegetation canopy or on sea ice.,longitude latitude time,day,Surface Snow Amount,landIce,,,GLB,kg m-2,CMIP6 CMOR variable,"land_class_mean(m01s08i236[lbproc=128], m01s03i317[lbproc=128], land_class='all')","land_class_mean(m01s08i236[lbproc=128], m01s03i317[lbproc=128], land_class='all')","land_class_mean(m01s08i236[lbproc=128], m01s03i317[lbproc=128], land_class='all')","land_class_mean(m01s08i236[lbproc=128], m01s03i317[lbproc=128], land_class='all')",,,kg m-2,,
Variable landIce.snc.tavg-u-hxy-lnd.day.GLB (day.snc),1829,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1829,day landIce CMIP6 UKESM1 HadGEM3-GC31 approved,snc_tavg-u-hxy-lnd,surface_snow_area_fraction,"""modeling_realm"" was ""landIce land"";",area: areacella,area: mean where land time: mean,Percentage of each grid cell that is occupied by snow that rests on land portion of cell.,longitude latitude time,day,Snow Area Percentage,landIce,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:area: mean where land time: mean,",GLB,%,CMIP6 CMOR variable,"snc_calc(m01s08i236[lbproc=128], m01s03i317[lbproc=128], m01s03i395[lbproc=128])","snc_calc(m01s08i236[lbproc=128], m01s03i317[lbproc=128], m01s03i395[lbproc=128])","snc_calc(m01s08i236[lbproc=128], m01s03i317[lbproc=128], m01s03i395[lbproc=128])","snc_calc(m01s08i236[lbproc=128], m01s03i317[lbproc=128], m01s03i395[lbproc=128])",,,%,,
Variable landIce.mrfso.tavg-u-hxy-lnd.mon.GLB (Lmon.mrfso),1290,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1290,mon landIce CMIP6 UKESM1 HadGEM3-GC31 BCV approved,mrfso_tavg-u-hxy-lnd,soil_frozen_water_content,"""modeling_realm"" was ""land landIce""; ; ""comment"" was ""The mass per unit area (summed over all model layers) of frozen water."";",area: areacella,area: mean where land time: mean,the mass (summed over all all layers) of frozen water.,longitude latitude time,mon,Soil Frozen Water Content,landIce,,,GLB,kg m-2,CMIP6 CMOR variable,level_sum(m01s08i223[lbproc=128] * m01s08i230[lbproc=128] / (m01s08i230[lbproc=128] + m01s08i229[lbproc=128])),level_sum(m01s08i223[lbproc=128] * m01s08i230[lbproc=128] / (m01s08i230[lbproc=128] + m01s08i229[lbproc=128])),level_sum(m01s08i223[lbproc=128] * m01s08i230[lbproc=128] / (m01s08i230[lbproc=128] + m01s08i229[lbproc=128])),level_sum(m01s08i223[lbproc=128] * m01s08i230[lbproc=128] / (m01s08i230[lbproc=128] + m01s08i229[lbproc=128])),,,kg m-2,,
Variable landIce.tsn.tavg-u-hxy-is.mon.GLB (LImon.tsnIs),1267,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1267,mon landIce CMIP6,tsn_tavg-u-hxy-is,temperature_in_surface_snow,"""comment"" was ""This temperature is averaged over all the snow in the grid cell that rests on land or land ice. When computing the time-mean here, the time samples, weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights. Reported as missing in regions free of snow on land."";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Snow Internal Temperature,landIce,,,GLB,K,CMIP6 CMOR variable,,,,,,,,,
Variable landIce.tsn.tavg-u-hxy-lnd.mon.GLB (LImon.tsn),1266,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1266,mon landIce CMIP6,tsn_tavg-u-hxy-lnd,temperature_in_surface_snow,"""cell_methods"" was ""area: mean where land time: mean (with samples weighted by snow mass)""; ; ""comment"" was ""This temperature is averaged over all the snow in the grid cell that rests on land or land ice. When computing the time-mean here, the time samples, weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights. Reported as missing in regions free of snow on land.""; ; ""modeling_realm"" was ""landIce land"";",area: areacella,area: mean where land time: mean (weighted by snow mass on land),"This temperature is averaged over all the snow in the grid cell that rests on land or land ice. When computing the time-mean here, the time samples, weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights. Reported as ""missing in regions free of snow on land.",longitude latitude time,mon,Snow Internal Temperature,landIce,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land time: mean (with samples weighted by snow mass) CMIP7:area: mean where land time: mean (weighted by snow mass on land),",GLB,K,CMIP6 CMOR variable,,,,,,,,,
Variable landIce.ts.tavg-u-hxy-is.mon.GLB (LImon.tsIs),1265,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1265,mon landIce CMIP6 UKESM1 HadGEM3-GC31 approved,ts_tavg-u-hxy-is,surface_temperature,"""comment"" was ""Temperature of the lower boundary of the atmosphere"";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Surface Temperature,landIce,,,GLB,K,CMIP6 CMOR variable,"land_class_mean(m01s03i316[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')","land_class_mean(m01s03i316[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')","land_class_mean(m01s03i316[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')","land_class_mean(m01s03i316[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,,K,,
Variable landIce.tpf.tavg-u-hxy-lnd.mon.GLB (LImon.tpf),1264,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1264,mon landIce CMIP6,tpf_tavg-u-hxy-lnd,permafrost_layer_thickness,"""comment"" was ""The mean thickness of the permafrost layer in the land portion of the grid cell. Reported as zero in permafrost-free regions.""; ; ""modeling_realm"" was ""landIce land"";",area: areacella,area: mean where land time: mean,where land over land: This is the mean thickness of the permafrost layer in the land portion of the grid cell. Reported as missing in permafrost-free regions.,longitude latitude time,mon,Permafrost Layer Thickness,landIce,,,GLB,m,CMIP6 CMOR variable,,,,,,,,,
Variable landIce.tas.tavg-u-hxy-is.mon.GLB (LImon.tasIs),1263,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1263,mon landIce CMIP6 UKESM1 HadGEM3-GC31 approved,tas_tavg-u-hxy-is,air_temperature,"""comment"" was ""near-surface (usually, 2 meter) air temperature"";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Near-Surface Air Temperature,landIce,,,GLB,K,CMIP6 CMOR variable,"land_class_mean(m01s03i328[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')","land_class_mean(m01s03i328[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')","land_class_mean(m01s03i328[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')","land_class_mean(m01s03i328[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,,K,,
Variable landIce.sootsn.tavg-u-hxy-lnd.mon.GLB (LImon.sootsn),1262,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1262,mon landIce CMIP6,sootsn_tavg-u-hxy-lnd,soot_content_of_surface_snow,"""modeling_realm"" was ""landIce land"";",area: areacella,area: mean where land time: mean,"the entire land portion of the grid cell is considered, with snow soot content set to 0.0 in regions free of snow.",longitude latitude time,mon,Snow Soot Content,landIce,,,GLB,kg m-2,CMIP6 CMOR variable,,,,,,,,,
Variable landIce.snw.tavg-u-hxy-lnd.mon.GLB (LImon.snw),1261,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1261,mon landIce CMIP6 UKESM1 HadGEM3-GC31 BCV approved,snw_tavg-u-hxy-lnd,surface_snow_amount,"""comment"" was ""The mass of surface snow on the land portion of the grid cell divided by the land area in the grid cell; reported as missing where the land fraction is 0; excludes snow on vegetation canopy or on sea ice.""; ; ""modeling_realm"" was ""landIce land"";",area: areacella,area: mean where land time: mean,Computed as the mass of surface snow on the land portion of the grid cell divided by the land area in the grid cell; reported as missing where the land fraction is 0; excluded is snow on vegetation canopy or on sea ice.,longitude latitude time,mon,Surface Snow Amount,landIce,,,GLB,kg m-2,CMIP6 CMOR variable,"land_class_mean(m01s08i236[lbproc=128], m01s03i317[lbproc=128], land_class='all')",,"land_class_mean(m01s08i236[lbproc=128], m01s03i317[lbproc=128], land_class='all')",,,,kg m-2,,
Variable landIce.snm.tavg-u-hxy-is.mon.GLB (LImon.snmIs),1260,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1260,mon landIce CMIP6 UKESM1 HadGEM3-GC31 approved,snm_tavg-u-hxy-is,surface_snow_melt_flux,"""comment"" was ""The total surface snow melt rate on the land portion of the grid cell divided by the land area in the grid cell; report as zero for snow-free land regions and missing where there is no land."";",area: areacella,area: time: mean where ice_sheet,Loss of snow mass resulting from surface melting. Computed as the surface melt water from snow on the ice sheet portion of the grid cell divided by the ice_sheet area in the grid cell; report as 0.0 for snow-free land_ice regions; report as missing where the land fraction is 0.,longitude latitude time,mon,Ice Sheet Surface Snow Melt,landIce,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,"land_class_mean(m01s08i579[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')","land_class_mean(m01s08i579[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')","land_class_mean(m01s08i579[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')","land_class_mean(m01s08i579[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,,kg m-2 s-1,,
Variable landIce.snm.tavg-u-hxy-lnd.mon.GLB (LImon.snm),1259,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1259,mon landIce CMIP6 UKESM1 HadGEM3-GC31 approved,snm_tavg-u-hxy-lnd,surface_snow_melt_flux,"""comment"" was ""The total surface snow melt rate on the land portion of the grid cell divided by the land area in the grid cell; report as zero for snow-free land regions and missing where there is no land.""; ; ""modeling_realm"" was ""landIce land"";",area: areacella,area: mean where land time: mean,Computed as the total surface melt water on the land portion of the grid cell divided by the land area in the grid cell; report as 0.0 for snow-free land regions; report as missing where the land fraction is 0.,longitude latitude time,mon,Surface Snow Melt,landIce,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,"land_class_mean(m01s08i237[lbproc=128], m01s03i317[lbproc=128], land_class='all')","land_class_mean(m01s08i237[lbproc=128], m01s03i317[lbproc=128], land_class='all')","land_class_mean(m01s08i237[lbproc=128], m01s03i317[lbproc=128], land_class='all')","land_class_mean(m01s08i237[lbproc=128], m01s03i317[lbproc=128], land_class='all')",,,kg m-2 s-1,,
