title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM 1-3,Expression UKESM1,Expression UKESM1-3,HadGEM3-GC31,HadGEM3-GC5,Model units,UKESM1,UKESM1-3
Variable land.raLut.tavg-u-hxy-multi.mon.GLB (Emon.raLut),1860,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1860,mon land CMIP6 UKESM1 approved,raLut_tavg-u-hxy-multi,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration,,area: areacella,area: time: mean where sector,Carbon mass flux per unit area into atmosphere due to autotrophic respiration on land (respiration by producers) [see rh for heterotrophic production]. Calculated on land-use tiles.,longitude latitude landuse time,mon,Autotrophic Respiration on Land-Use Tile as Carbon Mass Flux [kgC m-2 s-1],land,,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude landUse time CMIP7:longitude latitude landuse time,",GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,"land_use_tile_mean( m01s19i184[lbtim_ia=240,lbproc=128] / (SECONDS_IN_DAY * DAYS_IN_YEAR), m01s19i013[lbtim_ia=240,lbproc=128])","land_use_tile_mean( m01s19i184[lbtim_ia=240,lbproc=128] / (SECONDS_IN_DAY * DAYS_IN_YEAR), m01s19i013[lbtim_ia=240,lbproc=128])",,,kg m-2 s-1,,
Variable land.nLitterSurf.tavg-u-hxy-lnd.mon.GLB (Emon.nLitterSurf),1859,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1859,mon land CMIP6,nLitterSurf_tavg-u-hxy-lnd,surface_litter_mass_content_of_nitrogen,"""comment"" was ""'Content' indicates a quantity per unit area. 'Litter' is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between 'fine' and 'coarse' is model dependent. 'Surface litter' means the part of the litter resting above the soil surface. The sum of the quantities with standard names wood_debris_mass_content_of_nitrogen, surface_litter_mass_content_of_nitrogen and subsurface_litter_mass_content_of_nitrogen is the total nitrogen mass content of dead plant material."";",area: areacella,area: mean where land time: mean,"""Content"" indicates a quantity per unit area. ""Litter"" is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between ""fine"" and ""coarse"" is model dependent. ""Surface litter"" means the part of the litter resting above the soil surface. The sum of the quantities with standard names wood_debris_mass_content_of_nitrogen, surface_litter_mass_content_of_nitrogen and subsurface_litter_mass_content_of_nitrogen is the total nitrogen mass content of dead plant material.",longitude latitude time,mon,Nitrogen Mass in Above-Ground Litter (non CWD),land,,,GLB,kg m-2,CMIP6 CMOR variable,,,,,,,,,,
Variable land.sftgif.ti-u-hxy-u.fx.GLB (fx.sftgif),1854,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1854,fx land CMIP6 UKESM1 HadGEM3-GC31 BCV,sftgif_ti-u-hxy-u,land_ice_area_fraction,"""comment"" was ""Percentage of grid cell covered by land ice (ice sheet, ice shelf, ice cap, glacier)"";",area: areacella,area: mean,"fraction of grid cell occupied by ""permanent"" ice (i.e., glaciers).",longitude latitude,fx,Land Ice Area Percentage,land,,"For atmospheres with more than 1 mesh (e.g., staggered grids), report areas that apply to surface vertical fluxes of energy.",GLB,%,CMIP6 CMOR variable,m01s03i317,,,m01s03i317,,,,%,,
Variable land.rootd.ti-u-hxy-lnd.fx.GLB (fx.rootd),1853,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1853,fx land CMIP6 BCV,rootd_ti-u-hxy-lnd,root_depth,"""comment"" was ""report the maximum soil depth reachable by plant roots (if defined in model), i.e., the maximum soil depth from which they can extract moisture; report as *missing* where the land fraction is 0."";",area: areacella,area: mean where land,"report the maximum soil depth reachable by plant roots (if defined in model), i.e., the maximum soil depth from which they can extract moisture; report as ""missing"" where the land fraction is 0.",longitude latitude,fx,Maximum Root Depth,land,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean CMIP7:area: mean where land,",GLB,m,CMIP6 CMOR variable,,,,,,,,,,
Variable land.orog.ti-u-hxy-u.fx.GLB (fx.orog),1852,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1852,fx land CMIP6 UKESM1 HadGEM3-GC31 BCV approved,orog_ti-u-hxy-u,surface_altitude,"""comment"" was ""The surface called 'surface' means the lower boundary of the atmosphere. Altitude is the (geometric) height above the geoid, which is the reference geopotential surface. The geoid is similar to mean sea level."";",area: areacella,area: mean,"height above the geoid; as defined here, ""the geoid"" is a surface of constant geopotential that, if the ocean were at rest, would coincide with mean sea level. Under this definition, the geoid changes as the mean volume of the ocean changes (e.g., due to glacial melt, or global warming of the ocean). Reported here is the height above the present-day geoid (0.0 over ocean).",longitude latitude,fx,Surface Altitude,land,,,GLB,m,CMIP6 CMOR variable,m01s00i033,m01s00i033,,m01s00i033,m01s00i033,,,m,,
Variable land.mrsofc.ti-u-hxy-lnd.fx.GLB (fx.mrsofc),1851,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1851,fx land CMIP6 UKESM1 HadGEM3-GC31 BCV,mrsofc_ti-u-hxy-lnd,soil_moisture_content_at_field_capacity,"""comment"" was ""The bulk water content retained by the soil at -33 J/kg of suction pressure, expressed as mass per unit land area; report as missing where there is no land"";",area: areacella,area: mean where land,"reported ""where land"": divide the total water holding capacity of all the soil in the grid cell by the land area in the grid cell; reported as ""missing"" where the land fraction is 0.",longitude latitude,fx,Capacity of Soil to Store Water (Field Capacity),land,,This variable should exclude lake water and must refer to soil water only. CHANGE: processing clarified.,GLB,kg m-2,CMIP6 CMOR variable,mask_zeros(m01s00i041 * FRESHWATER_DENSITY),,,mask_zeros(m01s00i041 * FRESHWATER_DENSITY),,,,kg m-2,,
Variable land.areacell.ti-u-hxy-u.fx.GLB (fx.areacellr),1845,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1845,fx land CMIP6,areacell_ti-u-hxy-u,cell_area,"""comment"" was ""For river routing model, if grid differs from the atmospheric grid."";",,area: sum,"Cell areas for any grid used to report river model variables (may be the same as for atmospheric variables). These cell areas should be defined to enable exact calculation of area integrals (e.g., of vertical fluxes of energy at the surface and top of the atmosphere).",longitude latitude,fx,Grid-Cell Area for River Model Variables,land,,,GLB,m2,CMIP6 CMOR variable,,,,,,,,,,
Variable land.tslsi.tavg-u-hxy-u.day.GLB (day.tslsi),1835,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1835,day land CMIP6 do-not-produce,tslsi_tavg-u-hxy-u,surface_temperature,"""cell_methods"" was ""area: time: mean (comment: over land and sea ice)"";",area: areacella,area: time: mean (over land and sea ice),Surface temperature of all surfaces except open ocean.,longitude latitude time,day,Surface Temperature Where Land or Sea Ice,land,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean (comment: over land and sea ice) CMIP7:area: time: mean (over land and sea ice),",GLB,K,CMIP6 CMOR variable,,,,,,,,,,
Variable land.mrsol.tavg-d10cm-hxy-lnd.day.GLB (day.mrsos),1810,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1810,day land CMIP6 UKESM1 HadGEM3-GC31 approved,mrsol_tavg-d10cm-hxy-lnd,mass_content_of_water_in_soil_layer,"""comment"" was ""The mass of water in all phases in the upper 10cm of the soil layer."";",area: areacella,area: mean where land time: mean,the mass of water in all phases in a thin surface soil layer.,longitude latitude time sdepth10cm,day,Moisture in Upper Portion of Soil Column,land,,"integrate over uppermost 10 cm. CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude time sdepth1 CMIP7:longitude latitude time sdepth10cm,",GLB,kg m-2,CMIP6 CMOR variable,"m01s08i223[blev=0.05, lbproc=128]","m01s08i223[blev=0.05, lbproc=128]",,"m01s08i223[blev=0.05, lbproc=128]","m01s08i223[blev=0.05, lbproc=128]",,,kg m-2,,
Variable land.mrso.tavg-u-hxy-lnd.day.GLB (day.mrso),1809,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1809,day land CMIP6 UKESM1 HadGEM3-GC31 approved,mrso_tavg-u-hxy-lnd,mass_content_of_water_in_soil,,area: areacella,area: mean where land time: mean,the mass per unit area (summed over all soil layers) of water in all phases.,longitude latitude time,day,Total Soil Moisture Content,land,,,GLB,kg m-2,CMIP6 CMOR variable,level_sum(m01s08i223[lbproc=128]),level_sum(m01s08i223[lbproc=128]),,level_sum(m01s08i223[lbproc=128]),level_sum(m01s08i223[lbproc=128]),,,kg m-2,,
