title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Expression UKESM2,Model units
Variable aerosol.rsdcsaf.tavg-u-hxy-u.mon.glb (AERmon.rsdcsaf),1883,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1883,mon aerosol UKESM1 HadGEM3-GC31 beyond-AFT,rsdcsaf_tavg-u-hxy-u,downwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,"""comment"" was ""Flux corresponding to rsdcs resulting from aerosol-free call to radiation, following Ghan (ACP, 2013)"";",area: areacella,area: time: mean,Flux corresponding to rsdcs resulting fom aerosol-free call to radiation,longitude latitude time,mon,Downwelling Clear Sky Aerosol-free Shortwave Radiation,aerosol,up,,glb,W m-2,Prospective addition after AFT,correct_multilevel_metadata(m01s01i520[llbproc=128]),correct_multilevel_metadata(m01s01i520[llbproc=128]),correct_multilevel_metadata(m01s01i520[llbproc=128]),correct_multilevel_metadata(m01s01i520[llbproc=128]),,
Variable aerosol.rsdaf.tavg-u-hxy-u.mon.glb (AERmon.rsdaf),1882,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1882,mon aerosol UKESM1 HadGEM3-GC31 beyond-AFT,rsdaf_tavg-u-hxy-u,downwelling_shortwave_flux_in_air,"""comment"" was ""Flux corresponding to rsd resulting from aerosol-free call to radiation, following Ghan (ACP, 2013)"";",area: areacella,area: time: mean,Flux corresponding to rsd resulting fom aerosol-free call to radiation,longitude latitude time,mon,Downwelling Aerosol-free shortwave Radiation,aerosol,up,,glb,W m-2,Prospective addition after AFT,correct_multilevel_metadata(m01s01i518[llbproc=128]),correct_multilevel_metadata(m01s01i518[llbproc=128]),correct_multilevel_metadata(m01s01i518[llbproc=128]),correct_multilevel_metadata(m01s01i518[llbproc=128]),,
Variable aerosol.rldcsaf.tavg-u-hxy-u.mon.glb (AERmon.rldcsaf),1881,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1881,mon aerosol UKESM1 HadGEM3-GC31 beyond-AFT,rldcsaf_tavg-u-hxy-u,downwelling_longwave_flux_in_air,"""comment"" was ""Flux corresponding to rldcs resulting from aerosol-free call to radiation, following Ghan (ACP, 2013)"";",area: areacella,area: time: mean,Flux corresponding to rldcs resulting fom aerosol-free call to radiation,longitude latitude time,mon,Downwelling Clear Sky Aerosol-free Longwave Radiation,aerosol,up,,glb,W m-2,Prospective addition after AFT,correct_multilevel_metadata(m01s02i520[llbproc=128]),correct_multilevel_metadata(m01s02i520[llbproc=128]),correct_multilevel_metadata(m01s02i520[llbproc=128]),correct_multilevel_metadata(m01s02i520[llbproc=128]),,
Variable aerosol.rldaf.tavg-u-hxy-u.mon.glb (AERmon.rldaf),1880,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1880,mon aerosol UKESM1 HadGEM3-GC31 beyond-AFT,rldaf_tavg-u-hxy-u,downwelling_longwave_flux_in_air,"""comment"" was ""Flux corresponding to rld resulting from aerosol-free call to radiation, following Ghan (ACP, 2013)"";",area: areacella,area: time: mean,Flux corresponding to rld resulting fom aerosol-free call to radiation,longitude latitude time,mon,Downwelling Aerosol-free Longwave Radiation,aerosol,up,,glb,W m-2,Prospective addition after AFT,correct_multilevel_metadata(m01s02i518[llbproc=128]),correct_multilevel_metadata(m01s02i518[llbproc=128]),correct_multilevel_metadata(m01s02i518[llbproc=128]),correct_multilevel_metadata(m01s02i518[llbproc=128]),,
Variable ocean.tos.tavg-u-hm-sea.mon.glb (Omon.tosga),1864,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1864,mon ocean CMIP6 UKESM1 HadGEM3-GC31 approved,tos_tavg-u-hm-sea,sea_surface_temperature,"""comment"" was ""Temperature of upper boundary of the liquid ocean, including temperatures below sea-ice and floating ice shelves."";",,area: mean where sea time: mean,"This may differ from ""surface temperature"" in regions of sea ice or floating ice shelves. For models using conservative temperature as the prognostic field, they should report the top ocean layer as surface potential temperature, which is the same as surface in situ temperature.",time,mon,Global Average Sea Surface Temperature,ocean,,"Evaluated at the upper boundary of the liquid ocean, including at the lower boundary of sea-ice and floating ice shelves.",glb,degC,CMIP6 CMOR variable,"area_mean(tos, volcello(thkcello[olevel=0], areacello))","area_mean(tos, volcello(thkcello[olevel=0], areacello))","area_mean(tos, volcello(thkcello[olevel=0], areacello))","area_mean(tos, volcello(thkcello[olevel=0], areacello))",,degC
Variable ocnBgchem.dpco2.tavg-u-hxy-sea.mon.glb (Omon.dpco2),1863,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1863,mon ocnBgchem CMIP6 UKESM1 approved_UKESM,dpco2_tavg-u-hxy-sea,surface_carbon_dioxide_partial_pressure_difference_between_sea_water_and_air,"""comment"" was ""Difference in partial pressure of carbon dioxide between sea water and air. The partial pressure of a dissolved gas in sea water is the partial pressure in air with which it would be in equilibrium. "";",area: areacello,area: mean where sea time: mean,Difference in partial pressure of carbon dioxide between sea water and air. The partial pressure of a dissolved gas in sea water is the partial pressure in air with which it would be in equilibrium.,longitude latitude time,mon,Delta CO2 Partial Pressure,ocnBgchem,,"Difference between atmospheric and oceanic partial pressure of CO2 (positive meaning ocean > atmosphere); CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude time depth0m CMIP7:longitude latitude time,",glb,Pa,CMIP6 CMOR variable,,,(OCN_PCO2 - ATM_PCO2),(OCN_PCO2 - ATM_PCO2),,uatm
Variable landIce.snc.tavg-u-hxy-lnd.mon.glb (LImon.snc),1862,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1862,mon landIce CMIP6 UKESM1 HadGEM3-GC31 BCV approved,snc_tavg-u-hxy-lnd,surface_snow_area_fraction,"""comment"" was ""Percentage of each grid cell that is occupied by snow that rests on land portion of cell.""; ; ""modeling_realm"" was ""landIce land"";",area: areacella,area: mean where land time: mean,Fraction of each grid cell that is occupied by snow that rests on land portion of cell.,longitude latitude time,mon,Snow Area Percentage,landIce land,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:area: mean where land time: mean,",glb,%,CMIP6 CMOR variable,"snc_calc(m01s08i236[lbproc=128], m01s03i317[lbproc=128], m01s03i395[lbproc=128])","snc_calc(m01s08i236[lbproc=128], m01s03i317[lbproc=128], m01s03i395[lbproc=128])","snc_calc(m01s08i236[lbproc=128], m01s03i317[lbproc=128], m01s03i395[lbproc=128])","snc_calc(m01s08i236[lbproc=128], m01s03i317[lbproc=128], m01s03i395[lbproc=128])",,%
Variable atmos.tntd.tavg-al-hxy-u.mon.glb (Emon.tntd),1861,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1861,mon atmos CMIP6 do-not-produce,tntd_tavg-al-hxy-u,tendency_of_air_temperature_due_to_diffusion,,area: areacella,area: time: mean,"This includes any horizontal or vertical numerical temperature diffusion not associated with the parametrized moist physics or the resolved dynamics. For example, any vertical diffusion which is part of the boundary layer mixing scheme should be excluded, as should any diffusion which is included in the terms from the resolved dynamics. This term is required to check the closure of the temperature budget.",longitude latitude alevel time,mon,Tendency of Air Temperature Due to Numerical Diffusion,atmos,,,glb,K s-1,CMIP6 CMOR variable,,,,,,
Variable land.raLut.tavg-u-hxy-multi.mon.glb (Emon.raLut),1860,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1860,mon land CMIP6 UKESM1 approved,raLut_tavg-u-hxy-multi,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration,,area: areacella,area: time: mean where sector,Carbon mass flux per unit area into atmosphere due to autotrophic respiration on land (respiration by producers) [see rh for heterotrophic production]. Calculated on land-use tiles.,longitude latitude landuse time,mon,Autotrophic Respiration on Land-Use Tile as Carbon Mass Flux [kgC m-2 s-1],land,,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude landUse time CMIP7:longitude latitude landuse time,",glb,kg m-2 s-1,CMIP6 CMOR variable,,,"land_use_tile_mean( m01s19i184[lbtim_ia=240,lbproc=128] / (SECONDS_IN_DAY * DAYS_IN_YEAR), m01s19i013[lbtim_ia=240,lbproc=128])","land_use_tile_mean( m01s19i184[lbtim_ia=240,lbproc=128] / (SECONDS_IN_DAY * DAYS_IN_YEAR), m01s19i013[lbtim_ia=240,lbproc=128])",,kg m-2 s-1
Variable land.nLitterSurf.tavg-u-hxy-lnd.mon.glb (Emon.nLitterSurf),1859,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1859,mon land CMIP6 do-not-produce,nLitterSurf_tavg-u-hxy-lnd,surface_litter_mass_content_of_nitrogen,"""comment"" was ""'Content' indicates a quantity per unit area. 'Litter' is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between 'fine' and 'coarse' is model dependent. 'Surface litter' means the part of the litter resting above the soil surface. The sum of the quantities with standard names wood_debris_mass_content_of_nitrogen, surface_litter_mass_content_of_nitrogen and subsurface_litter_mass_content_of_nitrogen is the total nitrogen mass content of dead plant material."";",area: areacella,area: mean where land time: mean,"""Content"" indicates a quantity per unit area. ""Litter"" is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between ""fine"" and ""coarse"" is model dependent. ""Surface litter"" means the part of the litter resting above the soil surface. The sum of the quantities with standard names wood_debris_mass_content_of_nitrogen, surface_litter_mass_content_of_nitrogen and subsurface_litter_mass_content_of_nitrogen is the total nitrogen mass content of dead plant material.",longitude latitude time,mon,Nitrogen Mass in Above-Ground Litter (non CWD),land,,,glb,kg m-2,CMIP6 CMOR variable,,,,,,
Variable atmos.vtem.tavg-p39-hy-air.day.glb (EdayZ.vtem),1858,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1858,question day atmos CMIP6 UKESM1 HadGEM3-GC31 approved,vtem_tavg-p39-hy-air,northward_transformed_eulerian_mean_air_velocity,"""cell_methods"" was ""longitude: mean time: mean""; ; ""comment"" was ""Transformed Eulerian Mean Diagnostics v*, meridional component of the residual meridional circulation (v*, w*) derived from 6 hr or higher frequency data fields (use instantaneous daily fields or 12 hr fields if the 6 hr data are not available)."";",,longitude: time: mean where air,zonal mean; hence YZT,latitude plev39 time,day,Transformed Eulerian Mean Northward Wind,atmos,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: mean time: mean CMIP7:longitude: time: mean where air,",glb,m s-1,CMIP6 CMOR variable,"mask_vtem(m01s30i310[blev=PLEV39, lbproc=192], m01s30i301[blev=PLEV39, lbproc=192])","mask_vtem(m01s30i310[blev=PLEV39, lbproc=192], m01s30i301[blev=PLEV39, lbproc=192])","mask_vtem(m01s30i310[blev=PLEV39, lbproc=192], m01s30i301[blev=PLEV39, lbproc=192])","mask_vtem(m01s30i310[blev=PLEV39, lbproc=192], m01s30i301[blev=PLEV39, lbproc=192])",,m s-1
