title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Expression UKESM2,Model units
Variable ocean.tos.tavg-u-hm-sea.mon.GLB (Omon.tosga),1864,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1864,mon ocean CMIP6 UKESM1 HadGEM3-GC31,tos_tavg-u-hm-sea,sea_surface_temperature,"""comment"" was ""Temperature of upper boundary of the liquid ocean, including temperatures below sea-ice and floating ice shelves."";",,area: mean where sea time: mean,"This may differ from ""surface temperature"" in regions of sea ice or floating ice shelves. For models using conservative temperature as the prognostic field, they should report the top ocean layer as surface potential temperature, which is the same as surface in situ temperature.",time,mon,Global Average Sea Surface Temperature,ocean,,,GLB,degC,CMIP6 CMOR variable,"area_mean(tos, areacello)",,"area_mean(tos, areacello)",,,degC
Variable ocean.volcello.tavg-ol-hxy-sea.yr.GLB (Oyr.volcello),1652,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1652,yr ocean CMIP6,volcello_tavg-ol-hxy-sea,ocean_volume,"""comment"" was ""grid-cell volume ca. 2000."";",area: areacello volume: volcello,area: sum where sea time: mean,"For oceans with more than 1 mesh (e.g. staggered grids), report areas that apply to surface vertical fluxes of energy. If this field is time-dependent then save it instead as one of your Omon and Odec fields",longitude latitude olevel time,yr,Ocean Grid-Cell Volume,ocean,,"a 3-d field: For oceans with more than 1 mesh, report on grid that applies to temperature",GLB,m3,CMIP6 CMOR variable,,,,,,
Variable ocean.tnpeo.tavg-u-hxy-sea.yr.GLB (Oyr.tnpeo),1651,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1651,yr ocean CMIP6 UKESM1 HadGEM3-GC31,tnpeo_tavg-u-hxy-sea,tendency_of_ocean_potential_energy_content,,area: areacello,area: mean where sea time: mean,"Rate that work is done against vertical stratification, as measured by the vertical heat and salt diffusivity. Report here as depth integrated two-dimensional field.",longitude latitude time,yr,Tendency of Ocean Potential Energy Content,ocean,,,GLB,W m-2,CMIP6 CMOR variable,tnpeo,,tnpeo,,,W m-2
Variable ocean.tnkebto.tavg-u-hxy-sea.yr.GLB (Oyr.tnkebto),1650,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1650,yr ocean CMIP6 UKESM1 HadGEM3-GC31,tnkebto_tavg-u-hxy-sea,tendency_of_ocean_eddy_kinetic_energy_content_due_to_parameterized_eddy_advection,,area: areacello,area: mean where sea time: mean,"Depth integrated impacts on kinetic energy arising from parameterized eddy-induced advection. For CMIP5, this diagnostic was 3d, whereas the CMIP6 depth integrated diagnostic is sufficient for many purposes and reduces archive requirements.",longitude latitude time,yr,Tendency of Ocean Eddy Kinetic Energy Content Due to Parameterized Eddy Advection,ocean,,,GLB,W m-2,CMIP6 CMOR variable,tnkebto,,tnkebto,,,W m-2
Variable ocean.somint.tavg-u-hxy-sea.yr.GLB (Oyr.somint),1649,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1649,yr ocean CMIP6,somint_tavg-u-hxy-sea,integral_wrt_depth_of_product_of_salinity_and_sea_water_density,"""standard_name"" was ""integral_wrt_depth_of_product_of_sea_water_density_and_salinity""; ; ""comment"" was ""Full column sum of density*cell thickness*prognostic salinity. If the model is Boussinesq, then use Boussinesq reference density for the density factor."";",area: areacello,area: mean where sea time: mean,"Full column sum of density\*cell thickness\*salinity. If the model is Boussinesq, then use Boussinesq reference density for the density factor.",longitude latitude time,yr,Depth Integral of Product of Sea Water Density and Prognostic Salinity,ocean,,,GLB,g m-2,CMIP6 CMOR variable,,,,,,
Variable ocean.rsdoabsorb.tavg-ol-hxy-sea.yr.GLB (Oyr.rsdoabsorb),1648,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1648,yr ocean CMIP6,rsdoabsorb_tavg-ol-hxy-sea,net_rate_of_absorption_of_shortwave_energy_in_ocean_layer,"""comment"" was ""'shortwave' means shortwave radiation. 'Layer' means any layer with upper and lower boundaries that have constant values in some vertical coordinate. There must be a vertical coordinate variable indicating the extent of the layer(s). If the layers are model layers, the vertical coordinate can be model_level_number, but it is recommended to specify a physical coordinate (in a scalar or auxiliary coordinate variable) as well. Net absorbed radiation is the difference between absorbed and emitted radiation."";",area: areacello volume: volcello,area: mean where sea time: mean,Tendency of heat content for a grid cell from penetrative shortwave radiation within a grid cell.,longitude latitude olevel time,yr,Net Rate of Absorption of Shortwave Energy in Ocean Layer,ocean,,,GLB,W m-2,CMIP6 CMOR variable,,,,,,
Variable ocean.osalttend.tavg-ol-hxy-sea.yr.GLB (Oyr.osalttend),1647,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1647,yr ocean CMIP6 UKESM1 HadGEM3-GC31,osalttend_tavg-ol-hxy-sea,tendency_of_sea_water_salinity_expressed_as_salt_content,,area: areacello volume: volcello,area: mean where sea time: mean,Tendency of salt content for a grid cell from all processes.,longitude latitude olevel time,yr,Tendency of Sea Water Salinity Expressed as Salt Content,ocean,,Report on native horizontal grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.,GLB,kg m-2 s-1,CMIP6 CMOR variable,osalttend,,osalttend,,,kg m-2 s-1
Variable ocean.osaltrmadvect.tavg-ol-hxy-sea.yr.GLB (Oyr.osaltrmadvect),1646,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1646,yr ocean CMIP6 UKESM1 HadGEM3-GC31,osaltrmadvect_tavg-ol-hxy-sea,tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_residual_mean_advection,"""comment"" was ""The phrase 'residual mean advection' refers to the sum of the model's resolved advective transport plus any parameterized advective transport. Parameterized advective transport includes processes such as parameterized mesoscale and submesoscale transport, as well as any other advectively parameterized transport. When the parameterized advective transport is represented in the model as a skew-diffusion rather than an advection, then the parameterized skew diffusion should be included in this diagnostic, since the convergence of skew-fluxes are identical (in the continuous formulation) to the convergence of advective fluxes."";",area: areacello volume: volcello,area: mean where sea time: mean,Tendency of salt content for a grid cell from residual mean (sum of Eulerian mean + parameterized eddy-induced) advection.,longitude latitude olevel time,yr,Tendency of Sea Water Salinity Expressed as Salt Content Due to Residual Mean Advection,ocean,,Report on native horizontal grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.,GLB,kg m-2 s-1,CMIP6 CMOR variable,osaltadvect,,osaltadvect,,,kg m-2 s-1
Variable ocean.osaltpsmadvect.tavg-ol-hxy-sea.yr.GLB (Oyr.osaltpsmadvect),1645,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1645,yr ocean CMIP6,osaltpsmadvect_tavg-ol-hxy-sea,tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_submesoscale_eddy_advection,,area: areacello volume: volcello,area: mean where sea time: mean,Tendency of salt content for a grid cell from parameterized submesoscale eddy advection.,longitude latitude olevel time,yr,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Submesoscale Advection,ocean,,Report on native horizontal grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,,,
Variable ocean.osaltpmdiff.tavg-ol-hxy-sea.yr.GLB (Oyr.osaltpmdiff),1644,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1644,yr ocean CMIP6 UKESM1 HadGEM3-GC31,osaltpmdiff_tavg-ol-hxy-sea,tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_mesoscale_eddy_diffusion,,area: areacello volume: volcello,area: mean where sea time: mean,Tendency of salt content for a grid cell from parameterized mesoscale eddy diffusion.,longitude latitude olevel time,yr,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Mesoscale Diffusion,ocean,,Report on native horizontal grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.,GLB,kg m-2 s-1,CMIP6 CMOR variable,osaltpmdiff,,osaltpmdiff,,,kg m-2 s-1
Variable ocean.osaltpadvect.tavg-ol-hxy-sea.yr.GLB (Oyr.osaltpadvect),1643,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1643,yr ocean CMIP6,osaltpadvect_tavg-ol-hxy-sea,tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_eddy_advection,,area: areacello volume: volcello,area: mean where sea time: mean,Tendency of salt content for a grid cell from parameterized eddy advection (any form of eddy advection).,longitude latitude olevel time,yr,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Eddy Advection,ocean,,Report on native horizontal grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,,,
Variable ocean.osaltdiff.tavg-ol-hxy-sea.yr.GLB (Oyr.osaltdiff),1642,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1642,yr ocean CMIP6 UKESM1 HadGEM3-GC31,osaltdiff_tavg-ol-hxy-sea,tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_dianeutral_mixing,"""standard_name"" was ""tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_eddy_dianeutral_mixing"";",area: areacello volume: volcello,area: mean where sea time: mean,Tendency of salt content for a grid cell from parameterized dianeutral mixing.,longitude latitude olevel time,yr,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Dianeutral Mixing,ocean,,Report on native horizontal grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.,GLB,kg m-2 s-1,CMIP6 CMOR variable,osaltdiff,,osaltdiff,,,kg m-2 s-1
Variable ocean.opottemptend.tavg-ol-hxy-sea.yr.GLB (Oyr.opottemptend),1641,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1641,yr ocean CMIP6 UKESM1 HadGEM3-GC31,opottemptend_tavg-ol-hxy-sea,tendency_of_sea_water_potential_temperature_expressed_as_heat_content,,area: areacello volume: volcello,area: mean where sea time: mean,Tendency of heat content for a grid cell from all processes. Reported only for models that use potential temperature as prognostic field.,longitude latitude olevel time,yr,Tendency of Sea Water Potential Temperature Expressed as Heat Content,ocean,,Report on native horizontal grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.,GLB,W m-2,CMIP6 CMOR variable,opottemptend,,opottemptend,,,W m-2
Variable ocean.opottemprmadvect.tavg-ol-hxy-sea.yr.GLB (Oyr.opottemprmadvect),1640,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1640,yr ocean CMIP6 UKESM1 HadGEM3-GC31,opottemprmadvect_tavg-ol-hxy-sea,tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_residual_mean_advection,"""comment"" was ""The phrase 'residual mean advection' refers to the sum of the model's resolved advective transport plus any parameterized advective transport. Parameterized advective transport includes processes such as parameterized mesoscale and submesoscale transport, as well as any other advectively parameterized transport. When the parameterized advective transport is represented in the model as a skew-diffusion rather than an advection, then the parameterized skew diffusion should be included in this diagnostic, since the convergence of skew-fluxes are identical (in the continuous formulation) to the convergence of advective fluxes."";",area: areacello volume: volcello,area: mean where sea time: mean,Tendency of heat content for a grid cell from residual mean (sum of Eulerian mean + parameterized eddy-induced) advection. Reported only for models that use potential temperature as prognostic field.,longitude latitude olevel time,yr,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Residual Mean Advection,ocean,,Report on native horizontal grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.,GLB,W m-2,CMIP6 CMOR variable,opottempadvect,,opottempadvect,,,W m-2
Variable ocean.opottemppsmadvect.tavg-ol-hxy-sea.yr.GLB (Oyr.opottemppsmadvect),1639,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1639,yr ocean CMIP6,opottemppsmadvect_tavg-ol-hxy-sea,tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_submesoscale_eddy_advection,,area: areacello volume: volcello,area: mean where sea time: mean,Tendency of heat content for a grid cell from parameterized submesoscale eddy advection. Reported only for models that use potential temperature as prognostic field.,longitude latitude olevel time,yr,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Submesoscale Advection,ocean,,Report on native horizontal grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.,GLB,W m-2,CMIP6 CMOR variable,,,,,,
Variable ocean.opottemppmdiff.tavg-ol-hxy-sea.yr.GLB (Oyr.opottemppmdiff),1638,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1638,yr ocean CMIP6 UKESM1 HadGEM3-GC31,opottemppmdiff_tavg-ol-hxy-sea,tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_mesoscale_eddy_diffusion,,area: areacello volume: volcello,area: mean where sea time: mean,Tendency of heat content for a grid cell from parameterized mesoscale eddy diffusion. Reported only for models that use potential temperature as prognostic field.,longitude latitude olevel time,yr,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Mesoscale Diffusion,ocean,,Report on native horizontal grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.,GLB,W m-2,CMIP6 CMOR variable,opottemppmdiff,,opottemppmdiff,,,W m-2
Variable ocean.opottemppadvect.tavg-ol-hxy-sea.yr.GLB (Oyr.opottemppadvect),1637,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1637,yr ocean CMIP6,opottemppadvect_tavg-ol-hxy-sea,tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_eddy_advection,"""comment"" was ""Tendency of heat content for a grid cell from parameterized eddy advection (any form of eddy advection). Reported only for models that use potential temperature as prognostic field."";",area: areacello volume: volcello,area: mean where sea time: mean,Tendency of heat content for a grid cell from parameterized eddy advection (all forms of eddy advection). Reported only for models that use potential temperature as prognostic field.,longitude latitude olevel time,yr,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Eddy Advection,ocean,,Report on native horizontal grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.,GLB,W m-2,CMIP6 CMOR variable,,,,,,
Variable ocean.opottempmint.tavg-u-hxy-sea.yr.GLB (Oyr.opottempmint),1636,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1636,yr ocean CMIP6 UKESM1 HadGEM3-GC31,opottempmint_tavg-u-hxy-sea,integral_wrt_depth_of_product_of_potential_temperature_and_sea_water_density,"""comment"" was ""Integral over the full ocean depth of the product of sea water density and potential temperature.""; ; ""standard_name"" was ""integral_wrt_depth_of_product_of_sea_water_density_and_potential_temperature"";",area: areacello,area: mean where sea time: mean,"Full column sum of density\*cell thickness\*potential temperature. If the model is Boussinesq, then use Boussinesq reference density for the density factor.",longitude latitude time,yr,Integral with Respect to Depth of Product of Sea Water Density and Potential Temperature,ocean,,Report on native horizontal grid,GLB,degC kg m-2,CMIP6 CMOR variable,opottempmint,,opottempmint,,,degC kg m-2
Variable ocean.opottempdiff.tavg-ol-hxy-sea.yr.GLB (Oyr.opottempdiff),1635,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1635,yr ocean CMIP6 UKESM1 HadGEM3-GC31,opottempdiff_tavg-ol-hxy-sea,tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_dianeutral_mixing,"""standard_name"" was ""tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_eddy_dianeutral_mixing"";",area: areacello volume: volcello,area: mean where sea time: mean,Tendency of heat content for a grid cell from parameterized dianeutral mixing. Reported only for models that use potential temperature as prognostic field.,longitude latitude olevel time,yr,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Dianeutral Mixing,ocean,,Report on native horizontal grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.,GLB,W m-2,CMIP6 CMOR variable,opottempdiff,,opottempdiff,,,W m-2
