title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Expression UKESM2,Model units
Variable ocnBgchem.dpco2.tavg-u-hxy-sea.mon.GLB (Omon.dpco2),1863,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1863,mon ocnBgchem CMIP6 UKESM1,dpco2_tavg-u-hxy-sea,surface_carbon_dioxide_partial_pressure_difference_between_sea_water_and_air,"""comment"" was ""Difference in partial pressure of carbon dioxide between sea water and air. The partial pressure of a dissolved gas in sea water is the partial pressure in air with which it would be in equilibrium. "";",area: areacello,area: mean where sea time: mean,Difference in partial pressure of carbon dioxide between sea water and air. The partial pressure of a dissolved gas in sea water is the partial pressure in air with which it would be in equilibrium.,longitude latitude time depth0m,mon,Delta CO2 Partial Pressure,ocnBgchem,,Difference between atmospheric and oceanic partial pressure of CO2 (positive meaning ocean > atmosphere),GLB,Pa,CMIP6 CMOR variable,,,(OCN_PCO2 - ATM_PCO2) * 1e-6 * 101325,(OCN_PCO2 - ATM_PCO2) * 1e-6 * 101325,,uatm
Variable ocnBgchem.sisi.tavg-u-hxy-si.mon.GLB (SImon.sisi),1764,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1764,mon ocnBgchem do-not-produce,sisi_tavg-u-hxy-si,sea_ice_mole_content_of_silicon,Not present,area: areacello,area: mean where sea_ice (mask=siconc) depth: sum where sea_ice time: mean,"Vertically-integrated amount of silicate in ice algae, expressed in moles of silicon per square meter of sea ice.",longitude latitude time,mon,Dissolved Silicon Amount in Sea Ice,ocnBgchem,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",GLB,mol m-2,New,,,,,,
Variable ocnBgchem.sino3.tavg-u-hxy-si.mon.GLB (SImon.sino3),1757,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1757,mon ocnBgchem do-not-produce,sino3_tavg-u-hxy-si,sea_ice_mole_content_of_nitrate,Not present,area: areacello,area: mean where sea_ice (mask=siconc) depth: sum where sea_ice time: mean,"Vertically-integrated amount of nitrate in ice algae, expressed in moles of nitrogen per square meter of sea ice.",longitude latitude time,mon,Dissolved Nitrate Amount in Sea Ice,ocnBgchem,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",GLB,mol m-2,New,,,,,,
Variable ocnBgchem.sigpp.tavg-u-hxy-si.mon.GLB (SImon.sigpp),1745,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1745,mon ocnBgchem do-not-produce,sigpp_tavg-u-hxy-si,gross_primary_productivity_of_biomass_expressed_as_carbon_due_to_ice_algae_in_sea_ice,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),Change in ice algal carbon mass due to photosynthesis per sea ice unit area per unit time.,longitude latitude time,mon,Gross Primary Productivity in Sea Ice as Carbon Amount Flux,ocnBgchem,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",GLB,kg m-2 s-1,New,,,,,,
Variable ocnBgchem.sichl.tavg-u-hxy-si.mon.GLB (SImon.sichl),1703,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1703,mon ocnBgchem do-not-produce,sichl_tavg-u-hxy-si,sea_ice_mass_content_of_ice_algae_expressed_as_chlorophyll,Not present,area: areacello,area: mean where sea_ice (mask=siconc) depth: sum where sea_ice time: mean,"Vertically-integrated content of Chl-a in ice algae, expressed as kg of Chl-a per square meter of sea ice.",longitude latitude time,mon,Amount of Total Ice Algae Expressed as Chlorophyll in Sea Ice,ocnBgchem,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",GLB,kg m-2,New,,,,,,
Variable ocnBgchem.sialgc.tavg-u-hxy-si.mon.GLB (SImon.sialgc),1699,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1699,mon ocnBgchem do-not-produce,sialgc_tavg-u-hxy-si,sea_ice_mole_content_of_ice_algae_expressed_as_carbon,Not present,area: areacello,area: mean where sea_ice (mask=siconc) depth: sum where sea_ice time: mean,"Vertically-integrated content of carbon in ice algae, expressed as moles of carbon per square meter of sea ice.",longitude latitude time,mon,Total Ice Algal Carbon Amount in Sea Ice,ocnBgchem,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",GLB,mol m-2,New,,,,,,
Variable ocnBgchem.zooc.tavg-u-hxy-sea.mon.30S-90S (Omon.zoocos),1617,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1617,mon ocnBgchem CMIP6 UKESM1,zooc_tavg-u-hxy-sea,mole_concentration_of_zooplankton_expressed_as_carbon_in_sea_water,,area: areacello,area: mean where sea time: mean,sum of zooplankton carbon component concentrations,longitude latitude time,mon,Surface Zooplankton Carbon Concentration,ocnBgchem,,,30S-90S,mol m-3,CMIP6 CMOR variable,,,(ZMI[depth=0] + ZME[depth=0]) * C_TO_N_RATIO_ZOO * 1e-3,(ZMI[depth=0] + ZME[depth=0]) * C_TO_N_RATIO_ZOO * 1e-3,,mmol m-3
Variable ocnBgchem.zooc.tavg-ol-hxy-sea.mon.GLB (Omon.zooc),1616,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1616,mon ocnBgchem CMIP6 UKESM1,zooc_tavg-ol-hxy-sea,mole_concentration_of_zooplankton_expressed_as_carbon_in_sea_water,,area: areacello volume: volcello,area: mean where sea time: mean,sum of zooplankton carbon component concentrations,longitude latitude olevel time,mon,Zooplankton Carbon Concentration,ocnBgchem,,,GLB,mol m-3,CMIP6 CMOR variable,,,(ZMI_E3T + ZME_E3T) * C_TO_N_RATIO_ZOO * 1e-3 / thkcello,(ZMI_E3T + ZME_E3T) * C_TO_N_RATIO_ZOO * 1e-3 / thkcello,,mmol m-3
Variable ocnBgchem.zmisc.tavg-u-hxy-sea.mon.30S-90S (Omon.zmiscos),1615,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1615,mon ocnBgchem CMIP6,zmisc_tavg-u-hxy-sea,mole_concentration_of_miscellaneous_zooplankton_expressed_as_carbon_in_sea_water,,area: areacello,area: mean where sea time: mean,"carbon from additional zooplankton component concentrations alone (e.g. Micro, meso). Since the models all have different numbers of components, this variable has been included to provide a check for intercomparison between models since some phytoplankton groups are supersets.",longitude latitude time,mon,Surface Mole Concentration of Other Zooplankton Expressed as Carbon in Sea Water,ocnBgchem,,,30S-90S,mol m-3,CMIP6 CMOR variable,,,,,,
Variable ocnBgchem.zmisc.tavg-ol-hxy-sea.mon.GLB (Omon.zmisc),1614,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1614,mon ocnBgchem CMIP6,zmisc_tavg-ol-hxy-sea,mole_concentration_of_miscellaneous_zooplankton_expressed_as_carbon_in_sea_water,,area: areacello volume: volcello,area: mean where sea time: mean,"carbon from additional zooplankton component concentrations alone (e.g. Micro, meso). Since the models all have different numbers of components, this variable has been included to provide a check for intercomparison between models since some phytoplankton groups are supersets.",longitude latitude olevel time,mon,Mole Concentration of Other Zooplankton Expressed as Carbon in Sea Water,ocnBgchem,,,GLB,mol m-3,CMIP6 CMOR variable,,,,,,
