title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Expression UKESM2,Model units
Variable ocnBgchem.sisi.tavg-u-hxy-si.mon.glb (SImon.sisi),1764,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1764,mon ocnBgchem do-not-produce,sisi_tavg-u-hxy-si,sea_ice_mole_content_of_silicon,Not present,area: areacello,area: mean where sea_ice (mask=siconc) depth: sum where sea_ice time: mean,"Vertically-integrated amount of silicate in ice algae, expressed in moles of silicon per square meter of sea ice.",longitude latitude time,mon,Dissolved Silicon Amount in Sea Ice,ocnBgchem seaIce,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",glb,mol m-2,New,,,,,,
Variable ocnBgchem.sino3.tavg-u-hxy-si.mon.glb (SImon.sino3),1757,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1757,mon ocnBgchem do-not-produce,sino3_tavg-u-hxy-si,sea_ice_mole_content_of_nitrate,Not present,area: areacello,area: mean where sea_ice (mask=siconc) depth: sum where sea_ice time: mean,"Vertically-integrated amount of nitrate in ice algae, expressed in moles of nitrogen per square meter of sea ice.",longitude latitude time,mon,Dissolved Nitrate Amount in Sea Ice,ocnBgchem seaIce,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",glb,mol m-2,New,,,,,,
Variable ocnBgchem.sigpp.tavg-u-hxy-si.mon.glb (SImon.sigpp),1745,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1745,mon ocnBgchem do-not-produce,sigpp_tavg-u-hxy-si,gross_primary_productivity_of_biomass_expressed_as_carbon_due_to_ice_algae_in_sea_ice,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),Change in ice algal carbon mass due to photosynthesis per sea ice unit area per unit time.,longitude latitude time,mon,Gross Primary Productivity in Sea Ice as Carbon Amount Flux,ocnBgchem seaIce,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",glb,kg m-2 s-1,New,,,,,,
Variable ocnBgchem.sichl.tavg-u-hxy-si.mon.glb (SImon.sichl),1703,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1703,mon ocnBgchem do-not-produce,sichl_tavg-u-hxy-si,sea_ice_mass_content_of_ice_algae_expressed_as_chlorophyll,Not present,area: areacello,area: mean where sea_ice (mask=siconc) depth: sum where sea_ice time: mean,"Vertically-integrated content of Chl-a in ice algae, expressed as kg of Chl-a per square meter of sea ice.",longitude latitude time,mon,Amount of Total Ice Algae Expressed as Chlorophyll in Sea Ice,ocnBgchem seaIce,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",glb,kg m-2,New,,,,,,
Variable ocnBgchem.sialgc.tavg-u-hxy-si.mon.glb (SImon.sialgc),1699,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1699,mon ocnBgchem do-not-produce,sialgc_tavg-u-hxy-si,sea_ice_mole_content_of_ice_algae_expressed_as_carbon,Not present,area: areacello,area: mean where sea_ice (mask=siconc) depth: sum where sea_ice time: mean,"Vertically-integrated content of carbon in ice algae, expressed as moles of carbon per square meter of sea ice.",longitude latitude time,mon,Total Ice Algal Carbon Amount in Sea Ice,ocnBgchem seaIce,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",glb,mol m-2,New,,,,,,
Variable ocnBgchem.intppnano.tavg-u-hxy-sea.mon.glb (Omon.intppnano),1479,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1479,mon ocnBgchem do-not-produce,intppnano_tavg-u-hxy-sea,net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_nanophytoplankton,Not present,area: areacello,area: mean where sea depth: sum where sea (over entire ocean column) time: mean,Vertically integrated total primary (organic carbon) production by nanophytoplankton.,longitude latitude time,mon,Net Primary Organic Carbon Production by Nanophytoplankton,ocnBgchem,,,glb,mol m-2 s-1,New,,,,,,
Variable ocnBgchem.expsiob.tavg-u-hxy-sea.mon.glb (Omon.expsiob),1425,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1425,mon ocnBgchem approved_UKESM,expsiob_tavg-u-hxy-sea,sinking_mole_flux_at_sea_floor_of_particulate_silicon_in_sea_water,Not present,area: areacello,area: mean where sea time: mean,Downward sinking flux of particulate silicon at seafloor,longitude latitude time,mon,Sinking Flux of Particulate Silicon Reaching the Ocean Bottom,ocnBgchem,down,Variable value should be reported as the flux exiting the bottom of the deepest ocean layer,glb,mol m-2 s-1,New,,,IBEN_SI,IBEN_SI,,
Variable ocnBgchem.exppob.tavg-u-hxy-sea.mon.glb (Omon.exppob),1424,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1424,mon ocnBgchem approved_UKESM,exppob_tavg-u-hxy-sea,sinking_mole_flux_at_sea_floor_of_particulate_organic_phosphorus_in_sea_water,Not present,area: areacello,area: mean where sea time: mean,Downward sinking flux of particulate organic phosphorus at seafloor,longitude latitude time,mon,Sinking Flux of Particulate Organic Phosphorus Reaching the Ocean Bottom,ocnBgchem,down,Variable value should be reported as the flux exiting the bottom of the deepest ocean layer,glb,mol m-2 s-1,New,,,IBEN_N * P_TO_N_RATIO,IBEN_N * P_TO_N_RATIO,,
Variable ocnBgchem.expnob.tavg-u-hxy-sea.mon.glb (Omon.expnob),1423,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1423,mon ocnBgchem approved_UKESM,expnob_tavg-u-hxy-sea,sinking_mole_flux_at_sea_floor_of_particulate_organic_nitrogen_in_sea_water,Not present,area: areacello,area: mean where sea time: mean,Downward sinking flux of particulate organic nitrogen at seafloor,longitude latitude time,mon,Sinking Flux of Particulate Organic Nitrogen Reaching the Ocean Bottom,ocnBgchem,down,Variable value should be reported as the flux exiting the bottom of the deepest ocean layer,glb,mol m-2 s-1,New,,,IBEN_N,IBEN_N,,
Variable ocnBgchem.expfeob.tavg-u-hxy-sea.mon.glb (Omon.expfeob),1422,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1422,mon ocnBgchem approved_UKESM,expfeob_tavg-u-hxy-sea,sinking_mole_flux_at_sea_floor_of_particulate_iron_in_sea_water,Not present,area: areacello,area: mean where sea time: mean,Downward sinking flux of particulate iron at seafloor,longitude latitude time,mon,Sinking Flux of Particulate Iron Reaching the Ocean Bottom,ocnBgchem,down,Variable value should be reported as the flux exiting the bottom of the deepest ocean layer,glb,mol m-2 s-1,New,,,IBEN_FE,IBEN_FE,,
