title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Model units
Variable seaIce.sivol.tavg-u-hm-u.mon.SH (SImon.sivols),1794,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1794,mon seaIce CMIP6,sivol_tavg-u-hm-u,sea_ice_volume,"""comment"" was ""total volume of sea ice in the Southern hemisphere""; ; ""cell_methods"" was ""area: time: mean"";",,area: sum time: mean,Total integrated volume of sea ice in the Southern Hemisphere.,time,mon,Sea-Ice Volume South,seaIce,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:area: sum time: mean,",SH,1e3 km3,CMIP6 CMOR variable,,,,,
Variable seaIce.sivol.tavg-u-hm-u.mon.NH (SImon.sivoln),1793,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1793,mon seaIce CMIP6,sivol_tavg-u-hm-u,sea_ice_volume,"""comment"" was ""total volume of sea ice in the Northern hemisphere""; ; ""cell_methods"" was ""area: time: mean"";",,area: sum time: mean,Total integrated volume of sea ice in the Northern Hemisphere.,time,mon,Sea-Ice Volume North,seaIce,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:area: sum time: mean,",NH,1e3 km3,CMIP6 CMOR variable,,,,,
Variable seaIce.sieqthick.tavg-u-hxy-u.mon.GLB (SImon.sivol),1792,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1792,mon seaIce CMIP6 UKESM1 HadGEM3-GC31,sieqthick_tavg-u-hxy-u,sea_ice_thickness,"""comment"" was ""Total volume of sea ice divided by grid-cell area (this used to be called ice thickness in CMIP5)"";",area: areacello,area: mean where sea time: mean,"Total volume of sea ice divided by grid-cell area, also known as the equivalent thickness of sea ice.",longitude latitude time,mon,Sea-Ice Volume per Area,seaIce,,,GLB,m,CMIP6 CMOR variable,hi,,hi,,m
Variable seaIce.siv.tavg-u-hxy-si.mon.GLB (SImon.siv),1791,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1791,mon seaIce CMIP6 UKESM1 HadGEM3-GC31 BCV,siv_tavg-u-hxy-si,sea_ice_y_velocity,"""cell_methods"" was ""area: time: mean where sea_ice (comment: mask=siconc)""; ; ""cell_measures"" was ""--MODEL""; ; ""comment"" was ""The y-velocity of ice on native model grid"";",::MODEL,area: time: mean where sea_ice (mask=siconc),Y-component of sea-ice velocity on native model grid.,longitude latitude time,mon,Y-Component of Sea-Ice Velocity,seaIce,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail. CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean where sea_ice (comment: mask=siconc) CMIP7:area: time: mean where sea_ice (mask=siconc),",GLB,m s-1,CMIP6 CMOR variable,siv,,siv,siv,m s-1
Variable seaIce.siu.tavg-u-hxy-si.mon.GLB (SImon.siu),1790,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1790,mon seaIce CMIP6 UKESM1 HadGEM3-GC31 BCV,siu_tavg-u-hxy-si,sea_ice_x_velocity,"""comment"" was ""The x-velocity of ice on native model grid""; ; ""cell_methods"" was ""area: time: mean where sea_ice (comment: mask=siconc)""; ; ""cell_measures"" was ""--MODEL"";",::MODEL,area: time: mean where sea_ice (mask=siconc),X-component of sea-ice velocity on native model grid.,longitude latitude time,mon,X-Component of Sea-Ice Velocity,seaIce,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail. CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean where sea_ice (comment: mask=siconc) CMIP7:area: time: mean where sea_ice (mask=siconc),",GLB,m s-1,CMIP6 CMOR variable,siu,,siu,siu,m s-1
Variable seaIce.sitimefrac.tavg-u-hxy-sea.mon.GLB (SImon.sitimefrac),1789,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1789,mon seaIce CMIP6 UKESM1 HadGEM3-GC31 BCV,sitimefrac_tavg-u-hxy-sea,fraction_of_time_with_sea_ice_area_fraction_above_threshold,"""comment"" was ""Fraction of time steps of the averaging period during which sea ice is present (siconc >0 ) in a grid cell"";",area: areacello,area: mean where sea time: mean,Fraction of time steps of the averaging period during which sea ice is present (siconc > 0) in a grid cell.,longitude latitude time,mon,Fraction of Time Steps with Sea Ice,seaIce,,,GLB,1,CMIP6 CMOR variable,ice_present,,ice_present,ice_present,1
Variable seaIce.sithick.tavg-u-hxy-si.mon.GLB (SImon.sithick),1788,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1788,mon seaIce CMIP6 UKESM1 HadGEM3-GC31 BCV,sithick_tavg-u-hxy-si,sea_ice_thickness,"""cell_methods"" was ""area: time: mean where sea_ice (comment: mask=siconc)""; ; ""comment"" was ""Actual (floe) thickness of sea ice (NOT volume divided by grid area as was done in CMIP5)""; ; ""long_name"" was ""Sea Ice Thickness""; ; ""modeling_realm"" was ""seaIce ocean"";",area: areacello,area: time: mean where sea_ice (mask=siconc),"Actual (floe) thickness of sea ice averaged over the ice-covered part of a given grid cell, NOT volume divided by grid area.",longitude latitude time,mon,Sea-Ice Thickness,seaIce,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail. CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean where sea_ice (comment: mask=siconc) CMIP7:area: time: mean where sea_ice (mask=siconc),",GLB,m,CMIP6 CMOR variable,sithick,,sithick,sithick,m
Variable seaIce.sitemptop.tavg-u-hxy-si.mon.GLB (SImon.sitemptop),1787,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1787,mon seaIce CMIP6 UKESM1 HadGEM3-GC31 BCV approved,sitemptop_tavg-u-hxy-si,sea_ice_surface_temperature,"""comment"" was ""Report surface temperature of snow where snow covers the sea ice.""; ; ""cell_methods"" was ""area: time: mean where sea_ice (comment: mask=siconc)"";",area: areacello,area: time: mean where sea_ice (mask=siconc),"Mean surface temperature of the sea-ice covered part of the grid cell. Wherever snow covers the ice, the surface temperature of the snow is used for the averaging, otherwise the surface temperature of the ice is used.",longitude latitude time,mon,Surface Temperature of Sea Ice,seaIce,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail. CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean where sea_ice (comment: mask=siconc) CMIP7:area: time: mean where sea_ice (mask=siconc),",GLB,K,CMIP6 CMOR variable,m01s03i535[lbproc=128] / m01s00i031[lbproc=128],m01s03i535[lbproc=128] / m01s00i031[lbproc=128],m01s03i535[lbproc=128] / m01s00i031[lbproc=128],m01s03i535[lbproc=128] / m01s00i031[lbproc=128],K
Variable seaIce.sitempsnic.tavg-u-hxy-si.mon.GLB (SImon.sitempsnic),1786,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1786,mon seaIce CMIP6,sitempsnic_tavg-u-hxy-si,sea_ice_surface_temperature,"""cell_methods"" was ""area: time: mean where sea_ice (comment: mask=siconc)""; ; ""comment"" was ""Report surface temperature of ice where snow thickness is zero"";",area: areacello,area: time: mean where sea_ice (mask=siconc),Mean temperature at the snow-ice interface. This is the surface temperature of ice where snow thickness is zero.,longitude latitude time,mon,Temperature at Snow-Ice Interface,seaIce,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail. CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean where sea_ice (comment: mask=siconc) CMIP7:area: time: mean where sea_ice (mask=siconc),",GLB,K,CMIP6 CMOR variable,,,,,
Variable seaIce.sitempbot.tavg-u-hxy-si.mon.GLB (SImon.sitempbot),1785,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1785,mon seaIce CMIP6 UKESM1 HadGEM3-GC31,sitempbot_tavg-u-hxy-si,sea_ice_basal_temperature,"""cell_methods"" was ""area: time: mean where sea_ice (comment: mask=siconc)""; ; ""comment"" was ""Report temperature at interface, NOT temperature within lowermost model layer"";",area: areacello,area: time: mean where sea_ice (mask=siconc),"Mean temperature at the base of the sea ice, NOT the temperature within lowermost sea-ice model layer.",longitude latitude time,mon,Temperature at Ice-Ocean Interface,seaIce,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail. CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean where sea_ice (comment: mask=siconc) CMIP7:area: time: mean where sea_ice (mask=siconc),",GLB,K,CMIP6 CMOR variable,sitempbot,,sitempbot,,K
