title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Model units
Variable seaIce.sisnmass.tavg-u-hm-u.mon.SH (SImon.sisnmasss),1776,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1776,mon seaIce,sisnmass_tavg-u-hm-u,surface_snow_mass,Not present,,area: sum time: mean,Total integrated mass of snow on sea ice in the Southern Hemisphere.,time,mon,Snow Mass on Sea Ice South,seaIce,,,SH,kg,New,,,,,
Variable seaIce.sisnmass.tavg-u-hm-u.mon.NH (SImon.sisnmassn),1775,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1775,mon seaIce,sisnmass_tavg-u-hm-u,surface_snow_mass,Not present,,area: sum time: mean,Total integrated mass of snow on sea ice in the Northern Hemisphere.,time,mon,Snow Mass on Sea Ice North,seaIce,,,NH,kg,New,,,,,
Variable seaIce.simpeffconc.tavg-u-hxy-si.mon.GLB (SImon.simpeffconc),1754,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1754,mon seaIce approved_UKESM,simpeffconc_tavg-u-hxy-si,area_fraction,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),"Area fraction of sea-ice surface that is covered by open melt ponds, that is melt ponds that are not covered by snow or ice lids. This represents the effective (i.e. radiatively-active) melt pond area fraction.",longitude latitude time typemp,mon,Fraction of Sea Ice Covered by Effective Melt Pond,seaIce,,,GLB,%,New,,,,apeff_ai / aice,
Variable seaIce.sfdsi.tavg-u-hxy-si.mon.GLB (SImon.siflsaltbot),1733,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1733,mon seaIce UKESM1,sfdsi_tavg-u-hxy-si,downward_sea_ice_basal_salt_flux,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),Total flux of salt from water into sea ice divided by grid-cell area. This flux is upward (negative) during ice growth when salt is embedded into the ice and downward (positive) during melt when salt from sea ice is again released to the ocean.,longitude latitude time,mon,Salt Flux from Sea Ice,seaIce,down,"Identical to the now-deprecated CMIP6 variable SImon.sfdsi Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",GLB,kg m-2 s-1,New,,,((meltt + meltb + meltl - congel - frazil) * ICE_DENSITY + melts * SNOW_DENSITY) / (100. * SECONDS_IN_DAY * aice) * REF_SALINITY / 1000.,,kg m-2 s-1
Variable seaIce.sivol.tavg-u-hm-u.day.SH (SIday.sivols),1697,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1697,day seaIce,sivol_tavg-u-hm-u,sea_ice_volume,Not present,,area: sum time: mean,Total integrated volume of sea ice in the Southern Hemisphere.,time,day,Sea-Ice Volume South,seaIce,,,SH,1e3 km3,New,,,,,
Variable seaIce.sivol.tavg-u-hm-u.day.NH (SIday.sivoln),1696,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1696,day seaIce,sivol_tavg-u-hm-u,sea_ice_volume,Not present,,area: sum time: mean,Total integrated volume of sea ice in the Northern Hemisphere.,time,day,Sea-Ice Volume North,seaIce,,,NH,1e3 km3,New,,,,,
Variable seaIce.sitempsnic.tavg-u-hxy-si.day.GLB (SIday.sitempsnic),1690,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1690,day seaIce,sitempsnic_tavg-u-hxy-si,sea_ice_surface_temperature,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),Mean temperature at the snow-ice interface. This is the surface temperature of ice where snow thickness is zero.,longitude latitude time,day,Temperature at Snow-Ice Interface,seaIce,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",GLB,K,New,,,,,
Variable seaIce.sitempbot.tavg-u-hxy-si.day.GLB (SIday.sitempbot),1689,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1689,day seaIce,sitempbot_tavg-u-hxy-si,sea_ice_basal_temperature,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),"Mean temperature at the base of the sea ice, NOT the temperature within lowermost sea-ice model layer.",longitude latitude time,day,Temperature at Ice-Ocean Interface,seaIce,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",GLB,K,New,,,,,
Variable seaIce.sisnmass.tavg-u-hm-u.day.SH (SIday.sisnmasss),1686,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1686,day seaIce,sisnmass_tavg-u-hm-u,surface_snow_mass,Not present,,area: sum time: mean,Total integrated mass of snow on sea ice in the Southern Hemisphere.,time,day,Snow Mass on Sea Ice South,seaIce,,,SH,kg,New,,,,,
Variable seaIce.sisnmass.tavg-u-hm-u.day.NH (SIday.sisnmassn),1685,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1685,day seaIce,sisnmass_tavg-u-hm-u,surface_snow_mass,Not present,,area: sum time: mean,Total integrated mass of snow on sea ice in the Northern Hemisphere.,time,day,Snow Mass on Sea Ice North,seaIce,,,NH,kg,New,,,,,
